DEPTH;X_3d;X_30d;X_365d;X_730d
500;1;0.990058792;0.553430629;0.457207272
499;1;0.989960148;0.55389481;0.458417479
498;1;0.989663261;0.55427796;0.459608143
497;1;0.989165273;0.554580598;0.460779473
496;1;0.98846144;0.554803306;0.461931692
495;1;0.987545152;0.554946722;0.463065028
494;1;0.986407978;0.555011546;0.464179725
493;1;0.985039705;0.554998533;0.465276033
492;1;0.983428406;0.554908498;0.466354214
491;1;0.981560508;0.554742315;0.467414539
490;1;0.979420878;0.554500913;0.468457289
489;1;0.976992925;0.554185278;0.469482755
488;1;0.974258714;0.553796454;0.470491238
487;0.999999999;0.971199092;0.553335539;0.471483047
486;0.999999998;0.967793838;0.552803687;0.4724585
485;0.999999994;0.964021824;0.552202104;0.473417926
484;0.999999985;0.959861189;0.551532053;0.474361662
483;0.999999963;0.955289539;0.550794847;0.475290052
482;0.999999909;0.95028415;0.54999185;0.476203451
481;0.999999784;0.944822199;0.54912448;0.477102221
480;0.999999499;0.938880998;0.548194202;0.477986732
479;0.999998867;0.932438247;0.54720253;0.478857362
478;0.999997504;0.9254723;0.546151028;0.479714498
477;0.999994638;0.917962432;0.545041304;0.480558532
476;0.999988774;0.909889117;0.543875011;0.481389866
475;0.999977088;0.901234313;0.54265385;0.482208908
474;0.999954408;0.891981744;0.541379562;0.483016072
473;0.999911544;0.882117177;0.540053929;0.483811779
472;0.999832652;0.871628697;0.538678775;0.484596458
471;0.999691253;0.860506971;0.537255964;0.485370543
470;0.999444456;0.848745495;0.535787395;0.486134472
469;0.99902497;0.836340828;0.534275004;0.486888693
468;0.998330627;0.823292798;0.532720762;0.487633657
467;0.997211414;0.80960469;0.531126673;0.488369818
466;0.995454575;0.795283396;0.529494773;0.48909764
465;0.992769031;0.780339537;0.527827128;0.489817587
464;0.988771298;0.764787551;0.526125831;0.49053013
463;0.982975993;0.748645738;0.524393003;0.491235744
462;0.974794738;0.731936267;0.522630791;0.491934907
461;0.963547527;0.71468514;0.520841362;0.492628101
460;0.948490095;0.696922112;0.519026909;0.493315812
459;0.928859289;0.678680574;0.517189641;0.493998528
458;0.903935927;0.659997381;0.515331789;0.494676741
457;0.873121342;0.640912649;0.513455597;0.495350944
456;0.836020198;0.621469505;0.511563326;0.496021634
455;0.792519168;0.601713805;0.509657249;0.49668931
454;0.742849294;0.581693811;0.50773965;0.49735447
453;0.687620209;0.561459839;0.505812822;0.498017616
452;0.627817074;0.541063887;0.503879067;0.498679251
451;0.564756003;0.520559229;0.501940689;0.499339877
450;0.5;0.5;0.5;0.5
449;0.435243997;0.479440771;0.498059311;0.500660123
448;0.372182926;0.458936113;0.496120933;0.501320749
447;0.312379791;0.438540161;0.494187178;0.501982384
446;0.257150706;0.418306189;0.49226035;0.50264553
445;0.207480832;0.398286195;0.490342751;0.50331069
444;0.163979802;0.378530495;0.488436674;0.503978366
443;0.126878658;0.359087351;0.486544403;0.504649056
442;0.096064073;0.340002619;0.484668211;0.505323259
441;0.071140711;0.321319426;0.482810359;0.506001472
440;0.051509905;0.303077888;0.480973091;0.506684188
439;0.036452473;0.28531486;0.479158638;0.507371899
438;0.025205262;0.268063733;0.477369209;0.508065093
437;0.017024007;0.251354262;0.475606997;0.508764256
436;0.011228702;0.235212449;0.473874169;0.50946987
435;0.007230969;0.219660463;0.472172872;0.510182413
434;0.004545425;0.204716604;0.470505227;0.51090236
433;0.002788586;0.19039531;0.468873327;0.511630182
432;0.001669373;0.176707202;0.467279238;0.512366343
431;0.00097503;0.163659172;0.465724996;0.513111307
430;0.000555544;0.151254505;0.464212605;0.513865528
429;0.000308747;0.139493029;0.462744036;0.514629457
428;0.000167348;0.128371303;0.461321225;0.515403542
427;8.84563E-05;0.117882823;0.459946071;0.516188221
426;4.55919E-05;0.108018256;0.458620438;0.516983928
425;2.29118E-05;0.098765687;0.45734615;0.517791092
424;1.12256E-05;0.090110883;0.456124989;0.518610134
423;5.36179E-06;0.082037568;0.454958696;0.519441468
422;2.49649E-06;0.0745277;0.453848972;0.520285502
421;1.13303E-06;0.067561753;0.45279747;0.521142638
420;5.01217E-07;0.061119002;0.451805798;0.522013268
419;2.16101E-07;0.055177801;0.45087552;0.522897779
418;9.08058E-08;0.04971585;0.45000815;0.523796549
417;3.71859E-08;0.044710461;0.449205153;0.524709948
416;1.484E-08;0.040138811;0.448467947;0.525638338
415;5.77112E-09;0.035978176;0.447797896;0.526582074
414;2.18698E-09;0.032206162;0.447196313;0.5275415
413;8.07559E-10;0.028800908;0.446664461;0.528516953
412;2.90558E-10;0.025741286;0.446203546;0.529508762
411;1.01862E-10;0.023007075;0.445814722;0.530517245
410;3.47931E-11;0.020579122;0.445499087;0.531542711
409;1.1579E-11;0.018439492;0.445257685;0.532585461
408;3.75433E-12;0.016571594;0.445091502;0.533645786
407;1.18594E-12;0.014960295;0.445001467;0.534723967
406;3.64986E-13;0.013592022;0.444988454;0.535820275
405;1.09412E-13;0.012454848;0.445053278;0.536934972
404;3.19744E-14;0.01153856;0.445196694;0.538068308
403;9.10383E-15;0.010834727;0.445419402;0.539220527
402;2.498E-15;0.010336739;0.44572204;0.540391857
401;6.66134E-16;0.010039852;0.44610519;0.541582521
400;3.88578E-16;0.009941208;0.446569371;0.542792728
