DEPTH;GAS_DEN;TIME_INDEX;DATES
400.0;2.93527;0;01.Jan.2022
400.5;2.93528;0;01.Jan.2022
401.0;2.93529;0;01.Jan.2022
401.5;2.9353;0;01.Jan.2022
402.0;2.93531;0;01.Jan.2022
402.5;2.93532;0;01.Jan.2022
403.0;2.93533;0;01.Jan.2022
403.5;2.93534;0;01.Jan.2022
404.0;2.93535;0;01.Jan.2022
404.5;2.93536;0;01.Jan.2022
405.0;2.93538;0;01.Jan.2022
405.5;2.93539;0;01.Jan.2022
406.0;2.9354;0;01.Jan.2022
406.5;2.93541;0;01.Jan.2022
407.0;2.93542;0;01.Jan.2022
407.5;2.93543;0;01.Jan.2022
408.0;2.93544;0;01.Jan.2022
408.5;2.93545;0;01.Jan.2022
409.0;2.93546;0;01.Jan.2022
409.5;2.93547;0;01.Jan.2022
410.0;2.93548;0;01.Jan.2022
410.5;2.9355;0;01.Jan.2022
411.0;2.93551;0;01.Jan.2022
411.5;2.93552;0;01.Jan.2022
412.0;2.93553;0;01.Jan.2022
412.5;2.93554;0;01.Jan.2022
413.0;2.93555;0;01.Jan.2022
413.5;2.93556;0;01.Jan.2022
414.0;2.93557;0;01.Jan.2022
414.5;2.93558;0;01.Jan.2022
415.0;2.93559;0;01.Jan.2022
415.5;2.9356;0;01.Jan.2022
416.0;2.93561;0;01.Jan.2022
416.5;2.93563;0;01.Jan.2022
417.0;2.93564;0;01.Jan.2022
417.5;2.93565;0;01.Jan.2022
418.0;2.93566;0;01.Jan.2022
418.5;2.93567;0;01.Jan.2022
419.0;2.93568;0;01.Jan.2022
419.5;2.93569;0;01.Jan.2022
420.0;2.9357;0;01.Jan.2022
420.5;2.93571;0;01.Jan.2022
421.0;2.93572;0;01.Jan.2022
421.5;2.93573;0;01.Jan.2022
422.0;2.93575;0;01.Jan.2022
422.5;2.93576;0;01.Jan.2022
423.0;2.93577;0;01.Jan.2022
423.5;2.93578;0;01.Jan.2022
424.0;2.93579;0;01.Jan.2022
424.5;2.9358;0;01.Jan.2022
425.0;2.93581;0;01.Jan.2022
425.5;2.93582;0;01.Jan.2022
426.0;2.93583;0;01.Jan.2022
426.5;2.93584;0;01.Jan.2022
427.0;2.93585;0;01.Jan.2022
427.5;2.93586;0;01.Jan.2022
428.0;2.93588;0;01.Jan.2022
428.5;2.93589;0;01.Jan.2022
429.0;2.9359;0;01.Jan.2022
429.5;2.93591;0;01.Jan.2022
430.0;2.93592;0;01.Jan.2022
430.5;2.93593;0;01.Jan.2022
431.0;2.93594;0;01.Jan.2022
431.5;2.93595;0;01.Jan.2022
432.0;2.93596;0;01.Jan.2022
432.5;2.93597;0;01.Jan.2022
433.0;2.93598;0;01.Jan.2022
433.5;2.936;0;01.Jan.2022
434.0;2.93601;0;01.Jan.2022
434.5;2.93602;0;01.Jan.2022
435.0;2.93603;0;01.Jan.2022
435.5;2.93604;0;01.Jan.2022
436.0;2.93605;0;01.Jan.2022
436.5;2.93606;0;01.Jan.2022
437.0;2.93607;0;01.Jan.2022
437.5;2.93608;0;01.Jan.2022
438.0;2.93609;0;01.Jan.2022
438.5;2.9361;0;01.Jan.2022
439.0;2.93611;0;01.Jan.2022
439.5;2.93613;0;01.Jan.2022
440.0;2.93614;0;01.Jan.2022
440.5;2.93615;0;01.Jan.2022
441.0;2.93616;0;01.Jan.2022
441.5;2.93617;0;01.Jan.2022
