DEPTH;RV;TIME_INDEX;DATES
400.0;0.0;0;01.Jan.2022
400.5;0.0;0;01.Jan.2022
401.0;0.0;0;01.Jan.2022
401.5;0.0;0;01.Jan.2022
402.0;0.0;0;01.Jan.2022
402.5;0.0;0;01.Jan.2022
403.0;0.0;0;01.Jan.2022
403.5;0.0;0;01.Jan.2022
404.0;0.0;0;01.Jan.2022
404.5;0.0;0;01.Jan.2022
405.0;0.0;0;01.Jan.2022
405.5;0.0;0;01.Jan.2022
406.0;0.0;0;01.Jan.2022
406.5;0.0;0;01.Jan.2022
407.0;0.0;0;01.Jan.2022
407.5;0.0;0;01.Jan.2022
408.0;0.0;0;01.Jan.2022
408.5;0.0;0;01.Jan.2022
409.0;0.0;0;01.Jan.2022
409.5;0.0;0;01.Jan.2022
410.0;0.0;0;01.Jan.2022
410.5;0.0;0;01.Jan.2022
411.0;0.0;0;01.Jan.2022
411.5;0.0;0;01.Jan.2022
412.0;0.0;0;01.Jan.2022
412.5;0.0;0;01.Jan.2022
413.0;0.0;0;01.Jan.2022
413.5;0.0;0;01.Jan.2022
414.0;0.0;0;01.Jan.2022
414.5;0.0;0;01.Jan.2022
415.0;0.0;0;01.Jan.2022
415.5;0.0;0;01.Jan.2022
416.0;0.0;0;01.Jan.2022
416.5;0.0;0;01.Jan.2022
417.0;0.0;0;01.Jan.2022
417.5;0.0;0;01.Jan.2022
418.0;0.0;0;01.Jan.2022
418.5;0.0;0;01.Jan.2022
419.0;0.0;0;01.Jan.2022
419.5;0.0;0;01.Jan.2022
420.0;0.0;0;01.Jan.2022
420.5;0.0;0;01.Jan.2022
421.0;0.0;0;01.Jan.2022
421.5;0.0;0;01.Jan.2022
422.0;0.0;0;01.Jan.2022
422.5;0.0;0;01.Jan.2022
423.0;0.0;0;01.Jan.2022
423.5;0.0;0;01.Jan.2022
424.0;0.0;0;01.Jan.2022
424.5;0.0;0;01.Jan.2022
425.0;0.0;0;01.Jan.2022
425.5;0.0;0;01.Jan.2022
426.0;0.0;0;01.Jan.2022
426.5;0.0;0;01.Jan.2022
427.0;0.0;0;01.Jan.2022
427.5;0.0;0;01.Jan.2022
428.0;0.0;0;01.Jan.2022
428.5;0.0;0;01.Jan.2022
429.0;0.0;0;01.Jan.2022
429.5;0.0;0;01.Jan.2022
430.0;0.0;0;01.Jan.2022
430.5;0.0;0;01.Jan.2022
431.0;0.0;0;01.Jan.2022
431.5;0.0;0;01.Jan.2022
432.0;0.0;0;01.Jan.2022
432.5;0.0;0;01.Jan.2022
433.0;0.0;0;01.Jan.2022
433.5;0.0;0;01.Jan.2022
434.0;0.0;0;01.Jan.2022
434.5;0.0;0;01.Jan.2022
