Depth;0 days H2 Mole Fraction;3 days H2 Mole Fraction;30 days H2 Mole Fraction;1 year H2 Mole Fraction;3 years H2 Mole Fraction;5 years H2 Mole Fraction;50 years H2 Mole Fraction;0 days Density;30 days Density;1 year Density;5 years Density;0 days Pressure;30 days Pressure;1 year Pressure;5 years Pressure
400;1;1;0.9879;0.5409;0.475;0.4743214;0.4743214;2.9463;3.2033;12.8085;14.3009;40.0001;40.1946;40.4344;40.4357
400.5;1;1;0.9879;0.5409;0.475;0.4743214;0.4743214;2.9463;3.2033;12.8085;14.3009;40.0001;40.1946;40.4344;40.4357
400.5;1;1;0.9879;0.5409;0.475;0.4743214;0.4743214;2.9463;3.2044;12.809;14.3011;40.0002;40.1948;40.435;40.4364
401;1;1;0.9879;0.5409;0.475;0.4743214;0.4743214;2.9463;3.2044;12.809;14.3011;40.0002;40.1948;40.435;40.4364
401;1;1;0.9877;0.5408;0.475;0.4743214;0.4743214;2.9463;3.2067;12.81;14.3014;40.0004;40.195;40.4356;40.4371
401.5;1;1;0.9877;0.5408;0.475;0.4743214;0.4743214;2.9463;3.2067;12.81;14.3014;40.0004;40.195;40.4356;40.4371
401.5;1;1;0.9876;0.5408;0.475;0.4743214;0.4743214;2.9464;3.2102;12.8113;14.3016;40.0005;40.1951;40.4363;40.4378
402;1;1;0.9876;0.5408;0.475;0.4743214;0.4743214;2.9464;3.2102;12.8113;14.3016;40.0005;40.1951;40.4363;40.4378
402;1;1;0.9874;0.5407;0.475;0.4743214;0.4743214;2.9464;3.2148;12.8129;14.3019;40.0007;40.1953;40.4369;40.4385
402.5;1;1;0.9874;0.5407;0.475;0.4743214;0.4743214;2.9464;3.2148;12.8129;14.3019;40.0007;40.1953;40.4369;40.4385
402.5;1;1;0.9871;0.5406;0.475;0.4743214;0.4743214;2.9464;3.2206;12.815;14.3021;40.0008;40.1954;40.4375;40.4392
403;1;1;0.9871;0.5406;0.475;0.4743214;0.4743214;2.9464;3.2206;12.815;14.3021;40.0008;40.1954;40.4375;40.4392
403;1;1;0.9867;0.5405;0.475;0.4743214;0.4743214;2.9464;3.2276;12.8174;14.3024;40.0009;40.1956;40.4381;40.4399
403.5;1;1;0.9867;0.5405;0.475;0.4743214;0.4743214;2.9464;3.2276;12.8174;14.3024;40.0009;40.1956;40.4381;40.4399
403.5;1;1;0.9863;0.5404;0.475;0.4743214;0.4743214;2.9464;3.2358;12.8201;14.3026;40.0011;40.1957;40.4388;40.4406
404;1;1;0.9863;0.5404;0.475;0.4743214;0.4743214;2.9464;3.2358;12.8201;14.3026;40.0011;40.1957;40.4388;40.4406
404;1;1;0.9859;0.5403;0.475;0.4743214;0.4743214;2.9464;3.2452;12.8233;14.3029;40.0012;40.1959;40.4394;40.4413
404.5;1;1;0.9859;0.5403;0.475;0.4743214;0.4743214;2.9464;3.2452;12.8233;14.3029;40.0012;40.1959;40.4394;40.4413
404.5;1;1;0.9853;0.5401;0.475;0.4743214;0.4743214;2.9464;3.2559;12.8268;14.3031;40.0014;40.1961;40.44;40.442
405;1;1;0.9853;0.5401;0.475;0.4743214;0.4743214;2.9464;3.2559;12.8268;14.3031;40.0014;40.1961;40.44;40.442
405;1;1;0.9848;0.54;0.475;0.4743214;0.4743214;2.9464;3.2678;12.8306;14.3034;40.0015;40.1962;40.4407;40.4427
405.5;1;1;0.9848;0.54;0.475;0.4743214;0.4743214;2.9464;3.2678;12.8306;14.3034;40.0015;40.1962;40.4407;40.4427
405.5;1;1;0.9841;0.5398;0.475;0.4743214;0.4743214;2.9464;3.281;12.8349;14.3036;40.0017;40.1964;40.4413;40.4434
406;1;1;0.9841;0.5398;0.475;0.4743214;0.4743214;2.9464;3.281;12.8349;14.3036;40.0017;40.1964;40.4413;40.4434
406;1;1;0.9834;0.5396;0.475;0.4743214;0.4743214;2.9464;3.2955;12.8394;14.3039;40.0018;40.1965;40.4419;40.4441
406.5;1;1;0.9834;0.5396;0.475;0.4743214;0.4743214;2.9464;3.2955;12.8394;14.3039;40.0018;40.1965;40.4419;40.4441
406.5;1;1;0.9826;0.5394;0.475;0.4743214;0.4743214;2.9465;3.3114;12.8444;14.3041;40.002;40.1967;40.4425;40.4448
407;1;1;0.9826;0.5394;0.475;0.4743214;0.4743214;2.9465;3.3114;12.8444;14.3041;40.002;40.1967;40.4425;40.4448
407;1;1;0.9818;0.5392;0.475;0.4743214;0.4743214;2.9465;3.3287;12.8497;14.3044;40.0021;40.1969;40.4432;40.4455
407.5;1;1;0.9818;0.5392;0.475;0.4743214;0.4743214;2.9465;3.3287;12.8497;14.3044;40.0021;40.1969;40.4432;40.4455
407.5;1;1;0.9809;0.5389;0.475;0.4743214;0.4743214;2.9465;3.3474;12.8554;14.3046;40.0022;40.197;40.4438;40.4462
408;1;1;0.9809;0.5389;0.475;0.4743214;0.4743214;2.9465;3.3474;12.8554;14.3046;40.0022;40.197;40.4438;40.4462
408;1;1;0.9799;0.5386;0.475;0.4743214;0.4743214;2.9465;3.3675;12.8614;14.3049;40.0024;40.1972;40.4444;40.4469
408.5;1;1;0.9799;0.5386;0.475;0.4743214;0.4743214;2.9465;3.3675;12.8614;14.3049;40.0024;40.1972;40.4444;40.4469
408.5;1;1;0.9788;0.5384;0.475;0.4743214;0.4743214;2.9465;3.3892;12.8678;14.3051;40.0025;40.1974;40.4451;40.4476
409;1;1;0.9788;0.5384;0.475;0.4743214;0.4743214;2.9465;3.3892;12.8678;14.3051;40.0025;40.1974;40.4451;40.4476
409;1;1;0.9777;0.5381;0.475;0.4743214;0.4743214;2.9465;3.4123;12.8745;14.3054;40.0027;40.1975;40.4457;40.4483
409.5;1;1;0.9777;0.5381;0.475;0.4743214;0.4743214;2.9465;3.4123;12.8745;14.3054;40.0027;40.1975;40.4457;40.4483
409.5;1;1;0.9765;0.5378;0.475;0.4743214;0.4743214;2.9465;3.4371;12.8816;14.3056;40.0028;40.1977;40.4463;40.449
410;1;1;0.9765;0.5378;0.475;0.4743214;0.4743214;2.9465;3.4371;12.8816;14.3056;40.0028;40.1977;40.4463;40.449
410;1;1;0.9752;0.5374;0.475;0.4743214;0.4743214;2.9465;3.4635;12.889;14.3059;40.003;40.1979;40.447;40.4497
410.5;1;1;0.9752;0.5374;0.475;0.4743214;0.4743214;2.9465;3.4635;12.889;14.3059;40.003;40.1979;40.447;40.4497
410.5;1;1;0.9738;0.5371;0.475;0.4743214;0.4743214;2.9465;3.4916;12.8968;14.3061;40.0031;40.1981;40.4476;40.4504
411;1;1;0.9738;0.5371;0.475;0.4743214;0.4743214;2.9465;3.4916;12.8968;14.3061;40.0031;40.1981;40.4476;40.4504
411;1;1;0.9724;0.5367;0.475;0.4743214;0.4743214;2.9466;3.5214;12.9049;14.3064;40.0033;40.1982;40.4482;40.4511
411.5;1;1;0.9724;0.5367;0.475;0.4743214;0.4743214;2.9466;3.5214;12.9049;14.3064;40.0033;40.1982;40.4482;40.4511
411.5;1;1;0.9709;0.5364;0.475;0.4743214;0.4743214;2.9466;3.553;12.9134;14.3066;40.0034;40.1984;40.4489;40.4518
412;1;1;0.9709;0.5364;0.475;0.4743214;0.4743214;2.9466;3.553;12.9134;14.3066;40.0034;40.1984;40.4489;40.4518
412;1;1;0.9692;0.536;0.475;0.4743214;0.4743214;2.9466;3.5865;12.9222;14.3069;40.0035;40.1986;40.4495;40.4525
412.5;1;1;0.9692;0.536;0.475;0.4743214;0.4743214;2.9466;3.5865;12.9222;14.3069;40.0035;40.1986;40.4495;40.4525
412.5;1;1;0.9675;0.5356;0.475;0.4743214;0.4743214;2.9466;3.6218;12.9314;14.3071;40.0037;40.1988;40.4501;40.4532
413;1;1;0.9675;0.5356;0.475;0.4743214;0.4743214;2.9466;3.6218;12.9314;14.3071;40.0037;40.1988;40.4501;40.4532
413;1;1;0.9657;0.5352;0.475;0.4743214;0.4743214;2.9466;3.6591;12.9409;14.3074;40.0038;40.1989;40.4508;40.454
413.5;1;1;0.9657;0.5352;0.475;0.4743214;0.4743214;2.9466;3.6591;12.9409;14.3074;40.0038;40.1989;40.4508;40.454
413.5;1;1;0.9638;0.5347;0.475;0.4743214;0.4743214;2.9466;3.6984;12.9507;14.3076;40.004;40.1991;40.4514;40.4547
414;1;1;0.9638;0.5347;0.475;0.4743214;0.4743214;2.9466;3.6984;12.9507;14.3076;40.004;40.1991;40.4514;40.4547
414;1;1;0.9618;0.5343;0.475;0.4743214;0.4743214;2.9466;3.7397;12.9609;14.3079;40.0041;40.1993;40.452;40.4554
414.5;1;1;0.9618;0.5343;0.475;0.4743214;0.4743214;2.9466;3.7397;12.9609;14.3079;40.0041;40.1993;40.452;40.4554
414.5;1;1;0.9597;0.5338;0.475;0.4743214;0.4743214;2.9466;3.7832;12.9714;14.3081;40.0043;40.1995;40.4527;40.4561
415;1;1;0.9597;0.5338;0.475;0.4743214;0.4743214;2.9466;3.7832;12.9714;14.3081;40.0043;40.1995;40.4527;40.4561
415;1;1;0.9575;0.5334;0.475;0.4743214;0.4743214;2.9466;3.8288;12.9822;14.3084;40.0044;40.1997;40.4533;40.4568
415.5;1;1;0.9575;0.5334;0.475;0.4743214;0.4743214;2.9466;3.8288;12.9822;14.3084;40.0044;40.1997;40.4533;40.4568
415.5;1;1;0.9551;0.5329;0.4749;0.4743214;0.4743214;2.9466;3.8767;12.9934;14.3086;40.0046;40.1999;40.4539;40.4575
416;1;1;0.9551;0.5329;0.4749;0.4743214;0.4743214;2.9466;3.8767;12.9934;14.3086;40.0046;40.1999;40.4539;40.4575
416;1;1;0.9527;0.5324;0.4749;0.4743214;0.4743214;2.9467;3.9269;13.0049;14.3089;40.0047;40.2001;40.4546;40.4582
416.5;1;1;0.9527;0.5324;0.4749;0.4743214;0.4743214;2.9467;3.9269;13.0049;14.3089;40.0047;40.2001;40.4546;40.4582
416.5;1;1;0.9502;0.5318;0.4749;0.4743214;0.4743214;2.9467;3.9795;13.0167;14.3091;40.0048;40.2003;40.4552;40.4589
417;1;1;0.9502;0.5318;0.4749;0.4743214;0.4743214;2.9467;3.9795;13.0167;14.3091;40.0048;40.2003;40.4552;40.4589
