TOPS        GAS_DEN    Group Index   Group Description     
400.00000   2.93527    0             01.Jan 2022 - 00:00:08
400.50000   2.93528    0             01.Jan 2022 - 00:00:08
401.00000   2.93529    0             01.Jan 2022 - 00:00:08
401.50000   2.93530    0             01.Jan 2022 - 00:00:08
402.00000   2.93531    0             01.Jan 2022 - 00:00:08
402.50000   2.93532    0             01.Jan 2022 - 00:00:08
403.00000   2.93533    0             01.Jan 2022 - 00:00:08
403.50000   2.93534    0             01.Jan 2022 - 00:00:08
404.00000   2.93535    0             01.Jan 2022 - 00:00:08
404.50000   2.93536    0             01.Jan 2022 - 00:00:08
405.00000   2.93537    0             01.Jan 2022 - 00:00:08
405.50000   2.93538    0             01.Jan 2022 - 00:00:08
406.00000   2.93539    0             01.Jan 2022 - 00:00:08
406.50000   2.93540    0             01.Jan 2022 - 00:00:08
407.00000   2.93541    0             01.Jan 2022 - 00:00:08
407.50000   2.93542    0             01.Jan 2022 - 00:00:08
408.00000   2.93543    0             01.Jan 2022 - 00:00:08
408.50000   2.93544    0             01.Jan 2022 - 00:00:08
409.00000   2.93545    0             01.Jan 2022 - 00:00:08
409.50000   2.93546    0             01.Jan 2022 - 00:00:08
410.00000   2.93547    0             01.Jan 2022 - 00:00:08
410.50000   2.93548    0             01.Jan 2022 - 00:00:08
411.00000   2.93549    0             01.Jan 2022 - 00:00:08
411.50000   2.93550    0             01.Jan 2022 - 00:00:08
412.00000   2.93551    0             01.Jan 2022 - 00:00:08
412.50000   2.93552    0             01.Jan 2022 - 00:00:08
413.00000   2.93553    0             01.Jan 2022 - 00:00:08
413.50000   2.93555    0             01.Jan 2022 - 00:00:08
414.00000   2.93556    0             01.Jan 2022 - 00:00:08
414.50000   2.93557    0             01.Jan 2022 - 00:00:08
415.00000   2.93558    0             01.Jan 2022 - 00:00:08
415.50000   2.93559    0             01.Jan 2022 - 00:00:08
416.00000   2.93560    0             01.Jan 2022 - 00:00:08
416.50000   2.93561    0             01.Jan 2022 - 00:00:08
417.00000   2.93562    0             01.Jan 2022 - 00:00:08
417.50000   2.93563    0             01.Jan 2022 - 00:00:08
418.00000   2.93564    0             01.Jan 2022 - 00:00:08
418.50000   2.93565    0             01.Jan 2022 - 00:00:08
419.00000   2.93566    0             01.Jan 2022 - 00:00:08
419.50000   2.93567    0             01.Jan 2022 - 00:00:08
420.00000   2.93568    0             01.Jan 2022 - 00:00:08
420.50000   2.93569    0             01.Jan 2022 - 00:00:08
421.00000   2.93570    0             01.Jan 2022 - 00:00:08
421.50000   2.93571    0             01.Jan 2022 - 00:00:08
