TOPS        RV        Group Index   Group Description     
400.00000   0.00000   0             01.Jan 2022 - 00:00:08
400.50000   0.00000   0             01.Jan 2022 - 00:00:08
401.00000   0.00000   0             01.Jan 2022 - 00:00:08
401.50000   0.00000   0             01.Jan 2022 - 00:00:08
402.00000   0.00000   0             01.Jan 2022 - 00:00:08
402.50000   0.00000   0             01.Jan 2022 - 00:00:08
403.00000   0.00000   0             01.Jan 2022 - 00:00:08
403.50000   0.00000   0             01.Jan 2022 - 00:00:08
404.00000   0.00000   0             01.Jan 2022 - 00:00:08
404.50000   0.00000   0             01.Jan 2022 - 00:00:08
405.00000   0.00000   0             01.Jan 2022 - 00:00:08
405.50000   0.00000   0             01.Jan 2022 - 00:00:08
406.00000   0.00000   0             01.Jan 2022 - 00:00:08
406.50000   0.00000   0             01.Jan 2022 - 00:00:08
407.00000   0.00000   0             01.Jan 2022 - 00:00:08
407.50000   0.00000   0             01.Jan 2022 - 00:00:08
408.00000   0.00000   0             01.Jan 2022 - 00:00:08
408.50000   0.00000   0             01.Jan 2022 - 00:00:08
409.00000   0.00000   0             01.Jan 2022 - 00:00:08
409.50000   0.00000   0             01.Jan 2022 - 00:00:08
410.00000   0.00000   0             01.Jan 2022 - 00:00:08
410.50000   0.00000   0             01.Jan 2022 - 00:00:08
411.00000   0.00000   0             01.Jan 2022 - 00:00:08
411.50000   0.00000   0             01.Jan 2022 - 00:00:08
412.00000   0.00000   0             01.Jan 2022 - 00:00:08
412.50000   0.00000   0             01.Jan 2022 - 00:00:08
413.00000   0.00000   0             01.Jan 2022 - 00:00:08
413.50000   0.00000   0             01.Jan 2022 - 00:00:08
414.00000   0.00000   0             01.Jan 2022 - 00:00:08
414.50000   0.00000   0             01.Jan 2022 - 00:00:08
415.00000   0.00000   0             01.Jan 2022 - 00:00:08
415.50000   0.00000   0             01.Jan 2022 - 00:00:08
416.00000   0.00000   0             01.Jan 2022 - 00:00:08
416.50000   0.00000   0             01.Jan 2022 - 00:00:08
417.00000   0.00000   0             01.Jan 2022 - 00:00:08
417.50000   0.00000   0             01.Jan 2022 - 00:00:08
418.00000   0.00000   0             01.Jan 2022 - 00:00:08
418.50000   0.00000   0             01.Jan 2022 - 00:00:08
419.00000   0.00000   0             01.Jan 2022 - 00:00:08
419.50000   0.00000   0             01.Jan 2022 - 00:00:08
420.00000   0.00000   0             01.Jan 2022 - 00:00:08
420.50000   0.00000   0             01.Jan 2022 - 00:00:08
421.00000   0.00000   0             01.Jan 2022 - 00:00:08
421.50000   0.00000   0             01.Jan 2022 - 00:00:08
422.00000   0.00000   0             01.Jan 2022 - 00:00:08
422.50000   0.00000   0             01.Jan 2022 - 00:00:08
423.00000   0.00000   0             01.Jan 2022 - 00:00:08
423.50000   0.00000   0             01.Jan 2022 - 00:00:08
424.00000   0.00000   0             01.Jan 2022 - 00:00:08
424.50000   0.00000   0             01.Jan 2022 - 00:00:08
425.00000   0.00000   0             01.Jan 2022 - 00:00:08
425.50000   0.00000   0             01.Jan 2022 - 00:00:08
426.00000   0.00000   0             01.Jan 2022 - 00:00:08
426.50000   0.00000   0             01.Jan 2022 - 00:00:08
427.00000   0.00000   0             01.Jan 2022 - 00:00:08
427.50000   0.00000   0             01.Jan 2022 - 00:00:08
428.00000   0.00000   0             01.Jan 2022 - 00:00:08
428.50000   0.00000   0             01.Jan 2022 - 00:00:08
429.00000   0.00000   0             01.Jan 2022 - 00:00:08
429.50000   0.00000   0             01.Jan 2022 - 00:00:08
430.00000   0.00000   0             01.Jan 2022 - 00:00:08
430.50000   0.00000   0             01.Jan 2022 - 00:00:08
431.00000   0.00000   0             01.Jan 2022 - 00:00:08
431.50000   0.00000   0             01.Jan 2022 - 00:00:08
432.00000   0.00000   0             01.Jan 2022 - 00:00:08
432.50000   0.00000   0             01.Jan 2022 - 00:00:08
433.00000   0.00000   0             01.Jan 2022 - 00:00:08
433.50000   0.00000   0             01.Jan 2022 - 00:00:08
434.00000   0.00000   0             01.Jan 2022 - 00:00:08
434.50000   0.00000   0             01.Jan 2022 - 00:00:08
435.00000   0.00000   0             01.Jan 2022 - 00:00:08
435.50000   0.00000   0             01.Jan 2022 - 00:00:08
436.00000   0.00000   0             01.Jan 2022 - 00:00:08
436.50000   0.00000   0             01.Jan 2022 - 00:00:08
437.00000   0.00000   0             01.Jan 2022 - 00:00:08
437.50000   0.00000   0             01.Jan 2022 - 00:00:08
438.00000   0.00000   0             01.Jan 2022 - 00:00:08
438.50000   0.00000   0             01.Jan 2022 - 00:00:08
439.00000   0.00000   0             01.Jan 2022 - 00:00:08
439.50000   0.00000   0             01.Jan 2022 - 00:00:08
440.00000   0.00000   0             01.Jan 2022 - 00:00:08
440.50000   0.00000   0             01.Jan 2022 - 00:00:08
441.00000   0.00000   0             01.Jan 2022 - 00:00:08
441.50000   0.00000   0             01.Jan 2022 - 00:00:08
442.00000   0.00000   0             01.Jan 2022 - 00:00:08
442.50000   0.00000   0             01.Jan 2022 - 00:00:08
443.00000   0.00000   0             01.Jan 2022 - 00:00:08
443.50000   0.00000   0             01.Jan 2022 - 00:00:08
444.00000   0.00000   0             01.Jan 2022 - 00:00:08
444.50000   0.00000   0             01.Jan 2022 - 00:00:08
445.00000   0.00000   0             01.Jan 2022 - 00:00:08
445.50000   0.00000   0             01.Jan 2022 - 00:00:08
446.00000   0.00000   0             01.Jan 2022 - 00:00:08
446.50000   0.00000   0             01.Jan 2022 - 00:00:08
447.00000   0.00000   0             01.Jan 2022 - 00:00:08
447.50000   0.00000   0             01.Jan 2022 - 00:00:08
448.00000   0.00000   0             01.Jan 2022 - 00:00:08
448.50000   0.00000   0             01.Jan 2022 - 00:00:08
449.00000   0.00001   0             01.Jan 2022 - 00:00:08
449.50000   0.00287   0             01.Jan 2022 - 00:00:08
450.00000   0.99693   0             01.Jan 2022 - 00:00:08
450.50000   0.99999   0             01.Jan 2022 - 00:00:08
451.00000   1.00000   0             01.Jan 2022 - 00:00:08
451.50000   1.00000   0             01.Jan 2022 - 00:00:08
452.00000   1.00000   0             01.Jan 2022 - 00:00:08
452.50000   1.00000   0             01.Jan 2022 - 00:00:08
453.00000   1.00000   0             01.Jan 2022 - 00:00:08
453.50000   1.00000   0             01.Jan 2022 - 00:00:08
454.00000   1.00000   0             01.Jan 2022 - 00:00:08
454.50000   1.00000   0             01.Jan 2022 - 00:00:08
455.00000   1.00000   0             01.Jan 2022 - 00:00:08
455.50000   1.00000   0             01.Jan 2022 - 00:00:08
456.00000   1.00000   0             01.Jan 2022 - 00:00:08
456.50000   1.00000   0             01.Jan 2022 - 00:00:08
457.00000   1.00000   0             01.Jan 2022 - 00:00:08
457.50000   1.00000   0             01.Jan 2022 - 00:00:08
458.00000   1.00000   0             01.Jan 2022 - 00:00:08
458.50000   1.00000   0             01.Jan 2022 - 00:00:08
459.00000   1.00000   0             01.Jan 2022 - 00:00:08
459.50000   1.00000   0             01.Jan 2022 - 00:00:08
460.00000   1.00000   0             01.Jan 2022 - 00:00:08
460.50000   1.00000   0             01.Jan 2022 - 00:00:08
461.00000   1.00000   0             01.Jan 2022 - 00:00:08
461.50000   1.00000   0             01.Jan 2022 - 00:00:08
462.00000   1.00000   0             01.Jan 2022 - 00:00:08
462.50000   1.00000   0             01.Jan 2022 - 00:00:08
463.00000   1.00000   0             01.Jan 2022 - 00:00:08
463.50000   1.00000   0             01.Jan 2022 - 00:00:08
464.00000   1.00000   0             01.Jan 2022 - 00:00:08
464.50000   1.00000   0             01.Jan 2022 - 00:00:08
465.00000   1.00000   0             01.Jan 2022 - 00:00:08
465.50000   1.00000   0             01.Jan 2022 - 00:00:08
466.00000   1.00000   0             01.Jan 2022 - 00:00:08
466.50000   1.00000   0             01.Jan 2022 - 00:00:08
467.00000   1.00000   0             01.Jan 2022 - 00:00:08
467.50000   1.00000   0             01.Jan 2022 - 00:00:08
468.00000   1.00000   0             01.Jan 2022 - 00:00:08
468.50000   1.00000   0             01.Jan 2022 - 00:00:08
469.00000   1.00000   0             01.Jan 2022 - 00:00:08
469.50000   1.00000   0             01.Jan 2022 - 00:00:08
470.00000   1.00000   0             01.Jan 2022 - 00:00:08
470.50000   1.00000   0             01.Jan 2022 - 00:00:08
471.00000   1.00000   0             01.Jan 2022 - 00:00:08
471.50000   1.00000   0             01.Jan 2022 - 00:00:08
472.00000   1.00000   0             01.Jan 2022 - 00:00:08
472.50000   1.00000   0             01.Jan 2022 - 00:00:08
473.00000   1.00000   0             01.Jan 2022 - 00:00:08
473.50000   1.00000   0             01.Jan 2022 - 00:00:08
474.00000   1.00000   0             01.Jan 2022 - 00:00:08
474.50000   1.00000   0             01.Jan 2022 - 00:00:08
475.00000   1.00000   0             01.Jan 2022 - 00:00:08
475.50000   1.00000   0             01.Jan 2022 - 00:00:08
476.00000   1.00000   0             01.Jan 2022 - 00:00:08
476.50000   1.00000   0             01.Jan 2022 - 00:00:08
477.00000   1.00000   0             01.Jan 2022 - 00:00:08
477.50000   1.00000   0             01.Jan 2022 - 00:00:08
478.00000   1.00000   0             01.Jan 2022 - 00:00:08
478.50000   1.00000   0             01.Jan 2022 - 00:00:08
479.00000   1.00000   0             01.Jan 2022 - 00:00:08
479.50000   1.00000   0             01.Jan 2022 - 00:00:08
480.00000   1.00000   0             01.Jan 2022 - 00:00:08
480.50000   1.00000   0             01.Jan 2022 - 00:00:08
481.00000   1.00000   0             01.Jan 2022 - 00:00:08
481.50000   1.00000   0             01.Jan 2022 - 00:00:08
482.00000   1.00000   0             01.Jan 2022 - 00:00:08
482.50000   1.00000   0             01.Jan 2022 - 00:00:08
483.00000   1.00000   0             01.Jan 2022 - 00:00:08
483.50000   1.00000   0             01.Jan 2022 - 00:00:08
484.00000   1.00000   0             01.Jan 2022 - 00:00:08
484.50000   1.00000   0             01.Jan 2022 - 00:00:08
485.00000   1.00000   0             01.Jan 2022 - 00:00:08
485.50000   1.00000   0             01.Jan 2022 - 00:00:08
486.00000   1.00000   0             01.Jan 2022 - 00:00:08
486.50000   1.00000   0             01.Jan 2022 - 00:00:08
487.00000   1.00000   0             01.Jan 2022 - 00:00:08
487.50000   1.00000   0             01.Jan 2022 - 00:00:08
488.00000   1.00000   0             01.Jan 2022 - 00:00:08
488.50000   1.00000   0             01.Jan 2022 - 00:00:08
489.00000   1.00000   0             01.Jan 2022 - 00:00:08
489.50000   1.00000   0             01.Jan 2022 - 00:00:08
490.00000   1.00000   0             01.Jan 2022 - 00:00:08
490.50000   1.00000   0             01.Jan 2022 - 00:00:08
491.00000   1.00000   0             01.Jan 2022 - 00:00:08
491.50000   1.00000   0             01.Jan 2022 - 00:00:08
492.00000   1.00000   0             01.Jan 2022 - 00:00:08
492.50000   1.00000   0             01.Jan 2022 - 00:00:08
493.00000   1.00000   0             01.Jan 2022 - 00:00:08
493.50000   1.00000   0             01.Jan 2022 - 00:00:08
494.00000   1.00000   0             01.Jan 2022 - 00:00:08
494.50000   1.00000   0             01.Jan 2022 - 00:00:08
495.00000   1.00000   0             01.Jan 2022 - 00:00:08
495.50000   1.00000   0             01.Jan 2022 - 00:00:08
496.00000   1.00000   0             01.Jan 2022 - 00:00:08
496.50000   1.00000   0             01.Jan 2022 - 00:00:08
497.00000   1.00000   0             01.Jan 2022 - 00:00:08
497.50000   1.00000   0             01.Jan 2022 - 00:00:08
498.00000   1.00000   0             01.Jan 2022 - 00:00:08
498.50000   1.00000   0             01.Jan 2022 - 00:00:08
499.00000   1.00000   0             01.Jan 2022 - 00:00:08
499.50000   1.00000   0             01.Jan 2022 - 00:00:08
400.00000   0.00000   1             04.Jan 2022 - 00:00:00
400.50000   0.00000   1             04.Jan 2022 - 00:00:00
401.00000   0.00000   1             04.Jan 2022 - 00:00:00
401.50000   0.00000   1             04.Jan 2022 - 00:00:00
402.00000   0.00000   1             04.Jan 2022 - 00:00:00
402.50000   0.00000   1             04.Jan 2022 - 00:00:00
403.00000   0.00000   1             04.Jan 2022 - 00:00:00
403.50000   0.00000   1             04.Jan 2022 - 00:00:00
404.00000   0.00000   1             04.Jan 2022 - 00:00:00
404.50000   0.00000   1             04.Jan 2022 - 00:00:00
405.00000   0.00000   1             04.Jan 2022 - 00:00:00
405.50000   0.00000   1             04.Jan 2022 - 00:00:00
406.00000   0.00000   1             04.Jan 2022 - 00:00:00
406.50000   0.00001   1             04.Jan 2022 - 00:00:00
407.00000   0.00001   1             04.Jan 2022 - 00:00:00
407.50000   0.00001   1             04.Jan 2022 - 00:00:00
408.00000   0.00001   1             04.Jan 2022 - 00:00:00
408.50000   0.00001   1             04.Jan 2022 - 00:00:00
409.00000   0.00001   1             04.Jan 2022 - 00:00:00
409.50000   0.00001   1             04.Jan 2022 - 00:00:00
410.00000   0.00001   1             04.Jan 2022 - 00:00:00
410.50000   0.00002   1             04.Jan 2022 - 00:00:00
411.00000   0.00002   1             04.Jan 2022 - 00:00:00
411.50000   0.00002   1             04.Jan 2022 - 00:00:00
412.00000   0.00002   1             04.Jan 2022 - 00:00:00
412.50000   0.00003   1             04.Jan 2022 - 00:00:00
413.00000   0.00003   1             04.Jan 2022 - 00:00:00
413.50000   0.00004   1             04.Jan 2022 - 00:00:00
414.00000   0.00004   1             04.Jan 2022 - 00:00:00
414.50000   0.00005   1             04.Jan 2022 - 00:00:00
415.00000   0.00006   1             04.Jan 2022 - 00:00:00
415.50000   0.00006   1             04.Jan 2022 - 00:00:00
416.00000   0.00007   1             04.Jan 2022 - 00:00:00
416.50000   0.00008   1             04.Jan 2022 - 00:00:00
417.00000   0.00010   1             04.Jan 2022 - 00:00:00
417.50000   0.00011   1             04.Jan 2022 - 00:00:00
418.00000   0.00013   1             04.Jan 2022 - 00:00:00
418.50000   0.00015   1             04.Jan 2022 - 00:00:00
419.00000   0.00017   1             04.Jan 2022 - 00:00:00
419.50000   0.00019   1             04.Jan 2022 - 00:00:00
420.00000   0.00022   1             04.Jan 2022 - 00:00:00
420.50000   0.00026   1             04.Jan 2022 - 00:00:00
421.00000   0.00030   1             04.Jan 2022 - 00:00:00
421.50000   0.00034   1             04.Jan 2022 - 00:00:00
422.00000   0.00039   1             04.Jan 2022 - 00:00:00
422.50000   0.00045   1             04.Jan 2022 - 00:00:00
423.00000   0.00052   1             04.Jan 2022 - 00:00:00
423.50000   0.00060   1             04.Jan 2022 - 00:00:00
424.00000   0.00068   1             04.Jan 2022 - 00:00:00
424.50000   0.00079   1             04.Jan 2022 - 00:00:00
425.00000   0.00090   1             04.Jan 2022 - 00:00:00
425.50000   0.00104   1             04.Jan 2022 - 00:00:00
426.00000   0.00119   1             04.Jan 2022 - 00:00:00
426.50000   0.00137   1             04.Jan 2022 - 00:00:00
427.00000   0.00158   1             04.Jan 2022 - 00:00:00
427.50000   0.00181   1             04.Jan 2022 - 00:00:00
428.00000   0.00208   1             04.Jan 2022 - 00:00:00
428.50000   0.00239   1             04.Jan 2022 - 00:00:00
429.00000   0.00274   1             04.Jan 2022 - 00:00:00
429.50000   0.00315   1             04.Jan 2022 - 00:00:00
430.00000   0.00362   1             04.Jan 2022 - 00:00:00
430.50000   0.00415   1             04.Jan 2022 - 00:00:00
431.00000   0.00477   1             04.Jan 2022 - 00:00:00
431.50000   0.00547   1             04.Jan 2022 - 00:00:00
432.00000   0.00628   1             04.Jan 2022 - 00:00:00
432.50000   0.00720   1             04.Jan 2022 - 00:00:00
433.00000   0.00826   1             04.Jan 2022 - 00:00:00
433.50000   0.00947   1             04.Jan 2022 - 00:00:00
434.00000   0.01085   1             04.Jan 2022 - 00:00:00
434.50000   0.01243   1             04.Jan 2022 - 00:00:00
435.00000   0.01424   1             04.Jan 2022 - 00:00:00
435.50000   0.01631   1             04.Jan 2022 - 00:00:00
436.00000   0.01868   1             04.Jan 2022 - 00:00:00
436.50000   0.02138   1             04.Jan 2022 - 00:00:00
437.00000   0.02445   1             04.Jan 2022 - 00:00:00
437.50000   0.02797   1             04.Jan 2022 - 00:00:00
438.00000   0.03197   1             04.Jan 2022 - 00:00:00
438.50000   0.03652   1             04.Jan 2022 - 00:00:00
439.00000   0.04171   1             04.Jan 2022 - 00:00:00
439.50000   0.04760   1             04.Jan 2022 - 00:00:00
440.00000   0.05429   1             04.Jan 2022 - 00:00:00
440.50000   0.06189   1             04.Jan 2022 - 00:00:00
441.00000   0.07049   1             04.Jan 2022 - 00:00:00
441.50000   0.08014   1             04.Jan 2022 - 00:00:00
442.00000   0.09096   1             04.Jan 2022 - 00:00:00
442.50000   0.10309   1             04.Jan 2022 - 00:00:00
443.00000   0.11666   1             04.Jan 2022 - 00:00:00
443.50000   0.13182   1             04.Jan 2022 - 00:00:00
444.00000   0.14873   1             04.Jan 2022 - 00:00:00
444.50000   0.16754   1             04.Jan 2022 - 00:00:00
445.00000   0.18839   1             04.Jan 2022 - 00:00:00
445.50000   0.21143   1             04.Jan 2022 - 00:00:00
446.00000   0.23677   1             04.Jan 2022 - 00:00:00
446.50000   0.26452   1             04.Jan 2022 - 00:00:00
447.00000   0.29472   1             04.Jan 2022 - 00:00:00
447.50000   0.32738   1             04.Jan 2022 - 00:00:00
448.00000   0.36243   1             04.Jan 2022 - 00:00:00
448.50000   0.39966   1             04.Jan 2022 - 00:00:00
449.00000   0.43875   1             04.Jan 2022 - 00:00:00
449.50000   0.47918   1             04.Jan 2022 - 00:00:00
450.00000   0.52017   1             04.Jan 2022 - 00:00:00
450.50000   0.56064   1             04.Jan 2022 - 00:00:00
451.00000   0.59981   1             04.Jan 2022 - 00:00:00
451.50000   0.63714   1             04.Jan 2022 - 00:00:00
452.00000   0.67230   1             04.Jan 2022 - 00:00:00
452.50000   0.70508   1             04.Jan 2022 - 00:00:00
453.00000   0.73540   1             04.Jan 2022 - 00:00:00
453.50000   0.76325   1             04.Jan 2022 - 00:00:00
454.00000   0.78869   1             04.Jan 2022 - 00:00:00
454.50000   0.81181   1             04.Jan 2022 - 00:00:00
455.00000   0.83273   1             04.Jan 2022 - 00:00:00
455.50000   0.85159   1             04.Jan 2022 - 00:00:00
456.00000   0.86853   1             04.Jan 2022 - 00:00:00
456.50000   0.88371   1             04.Jan 2022 - 00:00:00
457.00000   0.89728   1             04.Jan 2022 - 00:00:00
457.50000   0.90937   1             04.Jan 2022 - 00:00:00
458.00000   0.92013   1             04.Jan 2022 - 00:00:00
458.50000   0.92968   1             04.Jan 2022 - 00:00:00
459.00000   0.93814   1             04.Jan 2022 - 00:00:00
459.50000   0.94564   1             04.Jan 2022 - 00:00:00
460.00000   0.95226   1             04.Jan 2022 - 00:00:00
460.50000   0.95811   1             04.Jan 2022 - 00:00:00
461.00000   0.96327   1             04.Jan 2022 - 00:00:00
461.50000   0.96781   1             04.Jan 2022 - 00:00:00
462.00000   0.97180   1             04.Jan 2022 - 00:00:00
462.50000   0.97532   1             04.Jan 2022 - 00:00:00
463.00000   0.97840   1             04.Jan 2022 - 00:00:00
463.50000   0.98111   1             04.Jan 2022 - 00:00:00
464.00000   0.98349   1             04.Jan 2022 - 00:00:00
464.50000   0.98557   1             04.Jan 2022 - 00:00:00
465.00000   0.98740   1             04.Jan 2022 - 00:00:00
465.50000   0.98899   1             04.Jan 2022 - 00:00:00
466.00000   0.99039   1             04.Jan 2022 - 00:00:00
466.50000   0.99161   1             04.Jan 2022 - 00:00:00
467.00000   0.99268   1             04.Jan 2022 - 00:00:00
467.50000   0.99362   1             04.Jan 2022 - 00:00:00
468.00000   0.99444   1             04.Jan 2022 - 00:00:00
468.50000   0.99515   1             04.Jan 2022 - 00:00:00
469.00000   0.99577   1             04.Jan 2022 - 00:00:00
469.50000   0.99631   1             04.Jan 2022 - 00:00:00
470.00000   0.99679   1             04.Jan 2022 - 00:00:00
470.50000   0.99720   1             04.Jan 2022 - 00:00:00
471.00000   0.99756   1             04.Jan 2022 - 00:00:00
471.50000   0.99788   1             04.Jan 2022 - 00:00:00
472.00000   0.99815   1             04.Jan 2022 - 00:00:00
472.50000   0.99839   1             04.Jan 2022 - 00:00:00
473.00000   0.99860   1             04.Jan 2022 - 00:00:00
473.50000   0.99878   1             04.Jan 2022 - 00:00:00
474.00000   0.99894   1             04.Jan 2022 - 00:00:00
474.50000   0.99908   1             04.Jan 2022 - 00:00:00
475.00000   0.99920   1             04.Jan 2022 - 00:00:00
475.50000   0.99930   1             04.Jan 2022 - 00:00:00
476.00000   0.99939   1             04.Jan 2022 - 00:00:00
476.50000   0.99947   1             04.Jan 2022 - 00:00:00
477.00000   0.99954   1             04.Jan 2022 - 00:00:00
477.50000   0.99960   1             04.Jan 2022 - 00:00:00
478.00000   0.99965   1             04.Jan 2022 - 00:00:00
478.50000   0.99970   1             04.Jan 2022 - 00:00:00
479.00000   0.99974   1             04.Jan 2022 - 00:00:00
479.50000   0.99977   1             04.Jan 2022 - 00:00:00
480.00000   0.99980   1             04.Jan 2022 - 00:00:00
480.50000   0.99983   1             04.Jan 2022 - 00:00:00
481.00000   0.99985   1             04.Jan 2022 - 00:00:00
481.50000   0.99987   1             04.Jan 2022 - 00:00:00
482.00000   0.99989   1             04.Jan 2022 - 00:00:00
482.50000   0.99990   1             04.Jan 2022 - 00:00:00
483.00000   0.99991   1             04.Jan 2022 - 00:00:00
483.50000   0.99993   1             04.Jan 2022 - 00:00:00
484.00000   0.99994   1             04.Jan 2022 - 00:00:00
484.50000   0.99994   1             04.Jan 2022 - 00:00:00
485.00000   0.99995   1             04.Jan 2022 - 00:00:00
485.50000   0.99996   1             04.Jan 2022 - 00:00:00
486.00000   0.99996   1             04.Jan 2022 - 00:00:00
486.50000   0.99997   1             04.Jan 2022 - 00:00:00
487.00000   0.99997   1             04.Jan 2022 - 00:00:00
487.50000   0.99998   1             04.Jan 2022 - 00:00:00
488.00000   0.99998   1             04.Jan 2022 - 00:00:00
488.50000   0.99998   1             04.Jan 2022 - 00:00:00
489.00000   0.99998   1             04.Jan 2022 - 00:00:00
489.50000   0.99999   1             04.Jan 2022 - 00:00:00
490.00000   0.99999   1             04.Jan 2022 - 00:00:00
490.50000   0.99999   1             04.Jan 2022 - 00:00:00
491.00000   0.99999   1             04.Jan 2022 - 00:00:00
491.50000   0.99999   1             04.Jan 2022 - 00:00:00
492.00000   0.99999   1             04.Jan 2022 - 00:00:00
492.50000   0.99999   1             04.Jan 2022 - 00:00:00
493.00000   0.99999   1             04.Jan 2022 - 00:00:00
493.50000   1.00000   1             04.Jan 2022 - 00:00:00
494.00000   1.00000   1             04.Jan 2022 - 00:00:00
494.50000   1.00000   1             04.Jan 2022 - 00:00:00
495.00000   1.00000   1             04.Jan 2022 - 00:00:00
495.50000   1.00000   1             04.Jan 2022 - 00:00:00
496.00000   1.00000   1             04.Jan 2022 - 00:00:00
496.50000   1.00000   1             04.Jan 2022 - 00:00:00
497.00000   1.00000   1             04.Jan 2022 - 00:00:00
497.50000   1.00000   1             04.Jan 2022 - 00:00:00
498.00000   1.00000   1             04.Jan 2022 - 00:00:00
498.50000   1.00000   1             04.Jan 2022 - 00:00:00
499.00000   1.00000   1             04.Jan 2022 - 00:00:00
