DENG;INDEX_I;TIME_INDEX;DATES
25.36076;1.0;0;01.Jan.2022
25.36076;2.0;0;01.Jan.2022
25.36076;3.0;0;01.Jan.2022
25.36076;4.0;0;01.Jan.2022
25.36076;5.0;0;01.Jan.2022
25.36076;6.0;0;01.Jan.2022
25.36076;7.0;0;01.Jan.2022
25.36076;8.0;0;01.Jan.2022
25.36076;9.0;0;01.Jan.2022
25.36076;10.0;0;01.Jan.2022
25.36076;11.0;0;01.Jan.2022
25.36076;12.0;0;01.Jan.2022
25.36076;13.0;0;01.Jan.2022
25.36076;14.0;0;01.Jan.2022
25.36076;15.0;0;01.Jan.2022
25.36076;16.0;0;01.Jan.2022
25.36076;17.0;0;01.Jan.2022
25.36076;18.0;0;01.Jan.2022
25.36076;19.0;0;01.Jan.2022
25.36076;20.0;0;01.Jan.2022
25.36076;21.0;0;01.Jan.2022
25.36076;22.0;0;01.Jan.2022
25.36076;23.0;0;01.Jan.2022
25.36076;24.0;0;01.Jan.2022
25.36076;25.0;0;01.Jan.2022
25.36076;26.0;0;01.Jan.2022
25.36076;27.0;0;01.Jan.2022
25.36076;28.0;0;01.Jan.2022
25.36076;29.0;0;01.Jan.2022
25.36076;30.0;0;01.Jan.2022
25.36076;31.0;0;01.Jan.2022
25.36076;32.0;0;01.Jan.2022
25.36076;33.0;0;01.Jan.2022
25.36076;34.0;0;01.Jan.2022
25.36076;35.0;0;01.Jan.2022
25.36076;36.0;0;01.Jan.2022
25.36076;37.0;0;01.Jan.2022
25.36076;38.0;0;01.Jan.2022
25.36076;39.0;0;01.Jan.2022
25.36076;40.0;0;01.Jan.2022
25.36076;41.0;0;01.Jan.2022
25.36076;42.0;0;01.Jan.2022
25.36076;43.0;0;01.Jan.2022
25.36076;44.0;0;01.Jan.2022
25.36076;45.0;0;01.Jan.2022
25.36076;46.0;0;01.Jan.2022
25.36076;47.0;0;01.Jan.2022
25.36076;48.0;0;01.Jan.2022
25.36076;49.0;0;01.Jan.2022
25.36076;50.0;0;01.Jan.2022
25.36076;51.0;0;01.Jan.2022
25.36076;52.0;0;01.Jan.2022
25.36076;53.0;0;01.Jan.2022
25.36076;54.0;0;01.Jan.2022
25.36076;55.0;0;01.Jan.2022
25.36076;56.0;0;01.Jan.2022
25.36076;57.0;0;01.Jan.2022
25.36076;58.0;0;01.Jan.2022
25.36076;59.0;0;01.Jan.2022
25.36076;60.0;0;01.Jan.2022
25.36076;61.0;0;01.Jan.2022
25.36076;62.0;0;01.Jan.2022
25.36076;63.0;0;01.Jan.2022
25.36076;64.0;0;01.Jan.2022
25.36076;65.0;0;01.Jan.2022
25.36076;66.0;0;01.Jan.2022
25.36076;67.0;0;01.Jan.2022
25.36076;68.0;0;01.Jan.2022
25.36076;69.0;0;01.Jan.2022
25.36076;70.0;0;01.Jan.2022
25.36076;71.0;0;01.Jan.2022
25.36076;72.0;0;01.Jan.2022
25.36076;73.0;0;01.Jan.2022
25.36076;74.0;0;01.Jan.2022
25.36076;75.0;0;01.Jan.2022
25.36076;76.0;0;01.Jan.2022
25.36076;77.0;0;01.Jan.2022
25.36076;78.0;0;01.Jan.2022
25.36076;79.0;0;01.Jan.2022
25.36076;80.0;0;01.Jan.2022
25.36076;81.0;0;01.Jan.2022
25.36076;82.0;0;01.Jan.2022
25.36076;83.0;0;01.Jan.2022
25.36076;84.0;0;01.Jan.2022
25.36076;85.0;0;01.Jan.2022
25.36076;86.0;0;01.Jan.2022
25.36076;87.0;0;01.Jan.2022
25.36076;88.0;0;01.Jan.2022
25.36076;89.0;0;01.Jan.2022
25.36076;90.0;0;01.Jan.2022
25.36076;91.0;0;01.Jan.2022
25.36076;92.0;0;01.Jan.2022
25.36076;93.0;0;01.Jan.2022
25.36076;94.0;0;01.Jan.2022
25.36076;95.0;0;01.Jan.2022
25.36076;96.0;0;01.Jan.2022
25.36076;97.0;0;01.Jan.2022
25.36076;98.0;0;01.Jan.2022
25.36076;99.0;0;01.Jan.2022
25.36076;100.0;0;01.Jan.2022
2.94736;101.0;0;01.Jan.2022
2.94736;102.0;0;01.Jan.2022
2.94736;103.0;0;01.Jan.2022
2.94736;104.0;0;01.Jan.2022
2.94736;105.0;0;01.Jan.2022
2.94736;106.0;0;01.Jan.2022
2.94736;107.0;0;01.Jan.2022
2.94736;108.0;0;01.Jan.2022
2.94736;109.0;0;01.Jan.2022
2.94736;110.0;0;01.Jan.2022
2.94736;111.0;0;01.Jan.2022
2.94736;112.0;0;01.Jan.2022
2.94736;113.0;0;01.Jan.2022
2.94736;114.0;0;01.Jan.2022
2.94736;115.0;0;01.Jan.2022
2.94736;116.0;0;01.Jan.2022
2.94736;117.0;0;01.Jan.2022
2.94736;118.0;0;01.Jan.2022
2.94736;119.0;0;01.Jan.2022
2.94736;120.0;0;01.Jan.2022
2.94736;121.0;0;01.Jan.2022
2.94736;122.0;0;01.Jan.2022
2.94736;123.0;0;01.Jan.2022
2.94736;124.0;0;01.Jan.2022
2.94736;125.0;0;01.Jan.2022
2.94736;126.0;0;01.Jan.2022
2.94736;127.0;0;01.Jan.2022
2.94736;128.0;0;01.Jan.2022
2.94736;129.0;0;01.Jan.2022
2.94736;130.0;0;01.Jan.2022
2.94736;131.0;0;01.Jan.2022
2.94736;132.0;0;01.Jan.2022
2.94736;133.0;0;01.Jan.2022
2.94736;134.0;0;01.Jan.2022
2.94736;135.0;0;01.Jan.2022
2.94736;136.0;0;01.Jan.2022
2.94736;137.0;0;01.Jan.2022
2.94736;138.0;0;01.Jan.2022
2.94736;139.0;0;01.Jan.2022
2.94736;140.0;0;01.Jan.2022
2.94736;141.0;0;01.Jan.2022
2.94736;142.0;0;01.Jan.2022
2.94736;143.0;0;01.Jan.2022
2.94736;144.0;0;01.Jan.2022
2.94736;145.0;0;01.Jan.2022
2.94736;146.0;0;01.Jan.2022
2.94736;147.0;0;01.Jan.2022
2.94736;148.0;0;01.Jan.2022
2.94736;149.0;0;01.Jan.2022
