Distance (m);450 m,Gas Mass Density,2022-Jan-01,Case_2_revised_Final_v8.sr3 (kg/m3);450 m,Gas Mass Density,2022-Jan-04,Case_2_revised_Final_v8.sr3 (kg/m3);450 m,Gas Mass Density,2022-Jan-31,Case_2_revised_Final_v8.sr3 (kg/m3);450 m,Gas Mass Density,2023-Jan-01,Case_2_revised_Final_v8.sr3 (kg/m3);450 m,Gas Mass Density,2027-Jan-01,Case_2_revised_Final_v8.sr3 (kg/m3)
0;25.53889275;25.53351975;25.18781662;14.65001202;14.0989666
0.5;25.53889275;25.53351975;25.18647575;14.6498785;14.0989666
1;25.53889275;25.53351975;25.18379021;14.64961147;14.09896565
1.5;25.53889275;25.53351975;25.17975617;14.64920998;14.09896469
2;25.53889275;25.53351784;25.17436409;14.64867306;14.09896374
2.5;25.53889275;25.53351784;25.16761017;14.64800167;14.09896183
3;25.53889275;25.53351784;25.15947723;14.64719486;14.09895897
3.5;25.53889275;25.53351784;25.14995766;14.64625549;14.09895611
4;25.53889275;25.53351593;25.13903427;14.64518166;14.09895325
4.5;25.53889275;25.53351402;25.12668991;14.64397526;14.09894943
5;25.53889275;25.53351212;25.1129055;14.64263535;14.09894562
5.5;25.53889275;25.53351021;25.09766007;14.64116192;14.09894085
6;25.53889275;25.5335083;25.08093071;14.63955689;14.09893608
6.5;25.53889275;25.53350639;25.06268883;14.63781929;14.09893036
7;25.53889275;25.53350258;25.04291153;14.63595104;14.09892464
7.5;25.53889275;25.53349876;25.02156448;14.63395119;14.09891796
8;25.53889275;25.53349495;24.99861908;14.63181973;14.09891129
8.5;25.53889275;25.53349114;24.97404099;14.62955952;14.09890461
9;25.53889275;25.53348541;24.94779205;14.62716675;14.09889698
9.5;25.53889275;25.53347969;24.91983604;14.62464523;14.09888935
10;25.53889275;25.53347397;24.8901329;14.62199307;14.09888077
10.5;25.53889275;25.53346634;24.85864639;14.6192112;14.09887219
11;25.53889275;25.5334568;24.82533073;14.61629963;14.09886265
