Distance (m);450 m,Global Mole Fraction(H2),2022-Jan-01,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2022-Jan-04,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2022-Jan-31,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2023-Jan-01,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2027-Jan-01,Case_2_revised_Final_v8.sr3
0;0;3.08E-08;0.014136286;0.45431447;0.47890982
0.5;0;3.16E-08;0.014188336;0.454320431;0.47890982
1;0;3.33E-08;0.014292577;0.454332292;0.47890985
1.5;0;3.59E-08;0.014449109;0.454350144;0.47890991
2;0;3.97E-08;0.014658375;0.454374015;0.478909969
2.5;0;4.47E-08;0.014920572;0.454403877;0.478910059
3;0;5.13E-08;0.015236259;0.454439729;0.478910148
3.5;0;7.47E-09;0.015605844;0.454481542;0.478910297
4;0;2.88E-08;0.016030034;0.454529256;0.478910446
4.5;0;5.14E-08;0.016509449;0.4545829;0.478910595
5;0;8.13E-08;0.017044926;0.454642504;0.478910774
5.5;0;1.14E-07;0.017637303;0.45470801;0.478910983
6;0;1.57E-07;0.018287541;0.454779387;0.478911191
6.5;0;2.06E-07;0.01899668;0.454856634;0.47891143
7;0;2.68E-07;0.019765796;0.454939753;0.478911698
7.5;0;3.39E-07;0.020596154;0.455028683;0.478911996
8;0;4.26E-07;0.02148903;0.455123454;0.478912294
8.5;0;5.28E-07;0.022445833;0.455223978;0.478912592
9;0;6.51E-07;0.023468053;0.455330372;0.47891295
9.5;0;7.97E-07;0.024557184;0.455442518;0.478913307
10;0;9.71E-07;0.025714885;0.455560505;0.478913665
10.5;0;1.18E-06;0.026942737;0.455684215;0.478914052
11;0;1.43E-06;0.028242515;0.455813706;0.478914469
11.5;0;1.73E-06;0.029615909;0.455948859;0.478914917
12;0;2.08E-06;0.031064773;0.456089705;0.478915364
12.5;0;2.51E-06;0.032590941;0.456236094;0.47891584
13;0;3.03E-06;0.034196343;0.456388026;0.478916317
13.5;0;3.65E-06;0.035882954;0.456545383;0.478916824
14;0;4.41E-06;0.03765282;0.456708163;0.478917331
14.5;0;5.32E-06;0.039507985;0.456876278;0.478917867
15;0;6.42E-06;0.04145059;0.457049638;0.478918433
15.5;0;7.74E-06;0.043482713;0.457228273;0.478918999
16;0;9.34E-06;0.045606531;0.457412094;0.478919595
16.5;0;1.13E-05;0.047824159;0.45760107;0.478920221
17;0;1.36E-05;0.050137796;0.457795143;0.478920847
17.5;0;1.64E-05;0.052549627;0.457994342;0.478921473
18;0;1.97E-05;0.055061892;0.458198547;0.478922158
18.5;0;2.38E-05;0.057676777;0.458407789;0.478922814
19;0;2.86E-05;0.060396511;0.458621949;0.478923529
19.5;0;3.45E-05;0.063223228;0.458841026;0.478924245
20;0;4.15E-05;0.06615904;0.45906496;0.47892496
20.5;0;4.99E-05;0.069206141;0.459293664;0.478925705
21;0;6.01E-05;0.07236664;0.459527105;0.47892645
21.5;0;7.22E-05;0.075642698;0.459765226;0.478927225
22;0;8.68E-05;0.079036355;0.460007936;0.47892803
22.5;0;0.000104359;0.082549624;0.460255206;0.478928834
23;0;0.000125381;0.086184487;0.460506916;0.478929639
23.5;0;0.000150585;0.089942753;0.460763067;0.478930473
24;0;0.000180787;0.093826383;0.46102351;0.478931338
24.5;0;0.000216956;0.09783718;0.461288333;0.478932232
25;0;0.000260236;0.101976804;0.461557329;0.478933156
25.5;0;0.000312016;0.106247015;0.461830497;0.478934109
26;0;0.000373933;0.110649496;0.462107748;0.478935063
26.5;0;0.000447917;0.115185767;0.462388992;0.478936046
27;0;0.000536266;0.119857147;0.462674171;0.47893706
27.5;0;0.000641692;0.124664873;0.462963194;0.478938073
28;0;0.000767409;0.129610032;0.463256061;0.478939086
28.5;0;0.000917204;0.134693697;0.463552684;0.478940099
29;0;0.001095546;0.139916718;0.463852972;0.478941172
29.5;0;0.001307694;0.145279825;0.464156866;0.478942215
30;0;0.001559829;0.150783628;0.464464277;0.478943288
30.5;0;0.001859209;0.156428576;0.464775145;0.478944361
31;0;0.002214325;0.162215039;0.465089411;0.478945464
31.5;0;0.002635118;0.168143243;0.465406954;0.478946567
32;0;0.003133172;0.174213141;0.465727717;0.478947669
32.5;0;0.003721993;0.180424616;0.466051549;0.478948802
33;0;0.004417248;0.186777309;0.46637845;0.478949934
33.5;0;0.005237109;0.193270788;0.466708243;0.478951097
34;0;0.006202538;0.199904323;0.467040896;0.478952229
34.5;0;0.007337698;0.206677154;0.467376262;0.478953421
35;0;0.008670376;0.213588178;0.467714369;0.478954583
35.5;0;0.010232395;0.220636234;0.46805504;0.478955776
36;0;0.01206002;0.22781983;0.468398273;0.478956968
36.5;0;0.014194471;0.235137418;0.46874398;0.47895816
37;0;0.016682345;0.242587164;0.469092101;0.478959352
37.5;0;0.019576129;0.250167131;0.469442576;0.478960574
38;0;0.02293456;0.257875085;0.469795346;0.478961796
38.5;0;0.026823055;0.265708715;0.470150292;0.478963047
39;0;0.031313948;0.273665428;0.470507383;0.478964269
39.5;0;0.036486793;0.281742543;0.470866501;0.478965521
40;0;0.04242824;0.28993699;0.471227527;0.478966773
40.5;0;0.049231876;0.298245668;0.471590459;0.478968024
41;0;0.056997642;0.306665212;0.471955091;0.478969276
41.5;0;0.065831125;0.315192074;0.472321421;0.478970557
