Distance (m);450 m,Pressure,2022-Jan-01,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2022-Jan-04,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2022-Jan-31,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2023-Jan-01,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2027-Jan-01,Case_2_revised_Final_v8.sr3 (kPa)
0;4012.563965;4011.766602;4014.638428;4014.65918;4014.810303
0.5;4012.563965;4011.766602;4014.638428;4014.65918;4014.810303
1;4012.563965;4011.766602;4014.63794;4014.65918;4014.810303
1.5;4012.563965;4011.766357;4014.637695;4014.65918;4014.810303
2;4012.563965;4011.766357;4014.636963;4014.65918;4014.810303
2.5;4012.563965;4011.766357;4014.636231;4014.65918;4014.810303
3;4012.563965;4011.766357;4014.635498;4014.65918;4014.810303
3.5;4012.563965;4011.766113;4014.634522;4014.65918;4014.810303
4;4012.563965;4011.766113;4014.633301;4014.65918;4014.810303
4.5;4012.563965;4011.765869;4014.63208;4014.65918;4014.810303
5;4012.563965;4011.765625;4014.630615;4014.65918;4014.810303
5.5;4012.563965;4011.765625;4014.628906;4014.65918;4014.810303
6;4012.563965;4011.765381;4014.627197;4014.658936;4014.810303
6.5;4012.563965;4011.765137;4014.625488;4014.658936;4014.810303
7;4012.563965;4011.764893;4014.623535;4014.658936;4014.810303
7.5;4012.563965;4011.764648;4014.621338;4014.658936;4014.810303
8;4012.563965;4011.764404;4014.619141;4014.658936;4014.810303
8.5;4012.563965;4011.76416;4014.616699;4014.658936;4014.810303
9;4012.563965;4011.763916;4014.614014;4014.658936;4014.810303
9.5;4012.563965;4011.763672;4014.611328;4014.658936;4014.810303
10;4012.563965;4011.763428;4014.608643;4014.658936;4014.810303
10.5;4012.563965;4011.76294;4014.605713;4014.658691;4014.810303
11;4012.563965;4011.762695;4014.602539;4014.658691;4014.810059
11.5;4012.563965;4011.762207;4014.599365;4014.658691;4014.810059
12;4012.563965;4011.761963;4014.595947;4014.658691;4014.810059
12.5;4012.563965;4011.761475;4014.592529;4014.658691;4014.810059
13;4012.563965;4011.760986;4014.588867;4014.658691;4014.810059
13.5;4012.563965;4011.760498;4014.585205;4014.658447;4014.810059
14;4012.563965;4011.76001;4014.581299;4014.658447;4014.810059
14.5;4012.563965;4011.759522;4014.577393;4014.658447;4014.810059
15;4012.563965;4011.759033;4014.573486;4014.658447;4014.810059
