M:\Spring_2022\H2_Project\Case_3_Final\H2_H2O_Case3_noPC_final_v13_volmodifier.sr3
Time (day);{15, 1, 26}-Gas Saturation;{15, 1, 1}-Gas Saturation
0;1E-06;1E-06
0.041667;9.97758E-07;9.97655E-07
0.083333;9.93164E-07;9.92851E-07
0.125;9.83886E-07;9.83152E-07
0.166667;9.72891E-07;9.71669E-07
0.208333;9.61568E-07;9.59852E-07
0.25;9.50552E-07;9.48366E-07
0.291667;9.39901E-07;9.37286E-07
0.333333;9.29829E-07;9.268E-07
0.375;9.20261E-07;9.1683E-07
0.416667;9.10923E-07;9.0712E-07
0.458333;9.01743E-07;8.97581E-07
0.5;8.92683E-07;8.88173E-07
0.541667;8.83755E-07;8.7891E-07
0.583333;8.75E-07;8.6983E-07
0.625;8.66476E-07;8.60997E-07
0.666667;8.5823E-07;8.52455E-07
0.708333;8.50302E-07;8.44249E-07
0.75;8.42761E-07;8.36448E-07
0.791667;8.35666E-07;8.29113E-07
0.833333;8.29038E-07;8.22262E-07
0.875;8.22868E-07;8.15889E-07
0.916667;8.17137E-07;8.09972E-07
0.958333;8.11818E-07;8.04482E-07
1;8.06883E-07;7.99391E-07
1.041667;8.023E-07;7.94665E-07
1.083333;7.98038E-07;7.9027E-07
1.125;7.94061E-07;7.86171E-07
1.166667;7.90333E-07;7.82331E-07
1.208333;7.86821E-07;7.78713E-07
1.25;7.83485E-07;7.75278E-07
1.291667;7.8029E-07;7.71987E-07
1.333333;7.77204E-07;7.68812E-07
1.375;7.74199E-07;7.65719E-07
1.416667;7.71251E-07;7.62686E-07
1.458333;7.68335E-07;7.59687E-07
1.5;7.65436E-07;7.56705E-07
1.541667;7.62542E-07;7.53729E-07
1.583333;7.59645E-07;7.50751E-07
1.625;7.56746E-07;7.47772E-07
1.666667;7.53843E-07;7.4479E-07
1.708333;7.50942E-07;7.4181E-07
1.75;7.48049E-07;7.38838E-07
1.791667;7.45169E-07;7.3588E-07
1.833333;7.42309E-07;7.32945E-07
1.875;7.39478E-07;7.30039E-07
1.916667;7.3668E-07;7.27168E-07
1.958333;7.3392E-07;7.24337E-07
2;7.31205E-07;7.21552E-07
2.041667;7.28539E-07;7.18818E-07
2.083333;7.25926E-07;7.16139E-07
2.125;7.23375E-07;7.13525E-07
2.166667;7.20903E-07;7.10991E-07
2.208333;7.18526E-07;7.08556E-07
2.25;7.16249E-07;7.06223E-07
2.291667;7.14072E-07;7.03994E-07
2.333333;7.11993E-07;7.01864E-07
2.375;7.10007E-07;6.99831E-07
2.416667;7.08111E-07;6.9789E-07
2.458333;7.06302E-07;6.96038E-07
2.5;7.04576E-07;6.94271E-07
2.541667;7.02928E-07;6.92585E-07
2.583333;7.01355E-07;6.90976E-07
2.625;6.99852E-07;6.89438E-07
2.666667;6.98414E-07;6.87967E-07
2.708333;6.97038E-07;6.8656E-07
2.75;6.95719E-07;6.85211E-07
2.791667;6.94452E-07;6.83916E-07
2.833333;6.93233E-07;6.82669E-07
2.875;6.92057E-07;6.81467E-07
2.916667;6.90919E-07;6.80303E-07
2.958333;6.89812E-07;6.79172E-07
3;6.88732E-07;6.78068E-07
3.041667;6.87674E-07;6.76986E-07
3.083333;6.86632E-07;6.75922E-07
3.125;6.85602E-07;6.7487E-07
3.166667;6.8458E-07;6.73825E-07
3.208333;6.8356E-07;6.72783E-07
3.25;6.8254E-07;6.71741E-07
3.291667;6.81517E-07;6.70695E-07
3.333333;6.80487E-07;6.69643E-07
3.375;6.79447E-07;6.68582E-07
3.416667;6.78397E-07;6.67509E-07
3.458333;6.77335E-07;6.66424E-07
3.5;6.76258E-07;6.65325E-07
3.541667;6.75169E-07;6.64213E-07
3.583333;6.74065E-07;6.63087E-07
3.625;6.7295E-07;6.61947E-07
3.666667;6.71822E-07;6.60797E-07
3.708333;6.70684E-07;6.59635E-07
3.75;6.69536E-07;6.58464E-07
3.791667;6.68381E-07;6.57285E-07
3.833333;6.6722E-07;6.56101E-07
3.875;6.66055E-07;6.54912E-07
3.916667;6.64888E-07;6.53722E-07
3.958333;6.6372E-07;6.5253E-07
4;6.62554E-07;6.51341E-07
4.041667;6.6139E-07;6.50154E-07
4.083333;6.60231E-07;6.48973E-07
4.125;6.59079E-07;6.47797E-07
4.166667;6.57934E-07;6.4663E-07
4.208333;6.56797E-07;6.45471E-07
4.25;6.55669E-07;6.44321E-07
4.291667;6.54552E-07;6.43183E-07
4.333333;6.53447E-07;6.42057E-07
4.375;6.52359E-07;6.40948E-07
4.416667;6.51291E-07;6.3986E-07
4.458333;6.50247E-07;6.38797E-07
4.5;6.49231E-07;6.37761E-07
4.541667;6.48243E-07;6.36755E-07
4.583333;6.47285E-07;6.3578E-07
4.625;6.46359E-07;6.34836E-07
4.666667;6.45464E-07;6.33925E-07
4.708333;6.44599E-07;6.33044E-07
4.75;6.43763E-07;6.32193E-07
4.791667;6.42956E-07;6.31371E-07
4.833333;6.42175E-07;6.30576E-07
4.875;6.4142E-07;6.29807E-07
4.916667;6.4069E-07;6.29064E-07
4.958333;6.39984E-07;6.28346E-07
5;6.39301E-07;6.27651E-07
5.041667;6.3864E-07;6.26978E-07
