WBHP;Time;Time[d]
87.144;2022-01-01;0.0
89.8471;2022-01-01;0.0
86.7463;2022-01-02;1.0
81.9365;2022-01-03;2.0
79.2607;2022-01-04;3.0
77.7001;2022-01-05;4.0
76.6078;2022-01-06;5.0
75.7579;2022-01-07;6.0
75.0663;2022-01-08;7.0
74.4976;2022-01-09;8.0
74.0205;2022-01-10;9.0
73.6245;2022-01-11;10.0
73.2831;2022-01-12;11.0
72.9844;2022-01-13;12.0
72.7256;2022-01-14;13.0
72.5001;2022-01-15;14.0
72.3011;2022-01-16;15.0
72.1272;2022-01-17;16.0
71.9689;2022-01-18;17.0
71.8219;2022-01-19;18.0
71.6861;2022-01-20;19.0
71.5559;2022-01-21;20.0
71.433;2022-01-22;21.0
71.3156;2022-01-23;22.0
71.204;2022-01-24;23.0
71.0963;2022-01-25;24.0
70.9945;2022-01-26;25.0
70.9003;2022-01-27;26.0
70.8129;2022-01-28;27.0
70.7319;2022-01-29;28.0
70.6584;2022-01-30;29.0
70.5895;2022-01-31;30.0
70.4732;2022-02-02;32.0
70.367;2022-02-04;34.0
70.2665;2022-02-06;36.0
70.1666;2022-02-08;38.0
70.0717;2022-02-10;40.0
69.9824;2022-02-12;42.0
69.8993;2022-02-14;44.0
69.8225;2022-02-16;46.0
69.7525;2022-02-18;48.0
69.6898;2022-02-20;50.0
69.6324;2022-02-22;52.0
69.5782;2022-02-24;54.0
69.5257;2022-02-26;56.0
69.4743;2022-02-28;58.0
69.4241;2022-03-02;60.0
69.3752;2022-03-04;62.0
69.3282;2022-03-06;64.0
69.2831;2022-03-08;66.0
69.2404;2022-03-10;68.0
69.2008;2022-03-12;70.0
69.1642;2022-03-14;72.0
69.1302;2022-03-16;74.0
69.0986;2022-03-18;76.0
69.0686;2022-03-20;78.0
69.0404;2022-03-22;80.0
69.0127;2022-03-24;82.0
68.9858;2022-03-26;84.0
68.96;2022-03-28;86.0
68.9348;2022-03-30;88.0
68.9106;2022-04-01;90.0
68.8872;2022-04-03;92.0
68.8648;2022-04-05;94.0
68.8433;2022-04-07;96.0
68.8233;2022-04-09;98.0
68.804;2022-04-11;100.0
68.7865;2022-04-13;102.0
68.7694;2022-04-15;104.0
68.7529;2022-04-17;106.0
68.7374;2022-04-19;108.0
68.7226;2022-04-21;110.0
68.7082;2022-04-23;112.0
68.6944;2022-04-25;114.0
68.6813;2022-04-27;116.0
68.6686;2022-04-29;118.0
68.6566;2022-05-01;120.0
68.6453;2022-05-03;122.0
68.6344;2022-05-05;124.0
68.6243;2022-05-07;126.0
68.6147;2022-05-09;128.0
68.6058;2022-05-11;130.0
68.5975;2022-05-13;132.0
68.5898;2022-05-15;134.0
68.5826;2022-05-17;136.0
68.576;2022-05-19;138.0
68.5699;2022-05-21;140.0
68.5647;2022-05-23;142.0
68.5588;2022-05-25;144.0
68.5537;2022-05-27;146.0
68.5489;2022-05-29;148.0
68.5442;2022-05-31;150.0
68.5397;2022-06-02;152.0
68.5352;2022-06-04;154.0
68.5312;2022-06-06;156.0
68.5274;2022-06-08;158.0
68.524;2022-06-10;160.0
68.5212;2022-06-12;162.0
68.518;2022-06-14;164.0
68.5156;2022-06-16;166.0
68.5135;2022-06-18;168.0
68.5117;2022-06-20;170.0
68.5106;2022-06-22;172.0
68.5093;2022-06-24;174.0
68.5086;2022-06-26;176.0
68.5082;2022-06-28;178.0
68.5084;2022-06-30;180.0
68.5083;2022-07-02;182.0
68.509;2022-07-04;184.0
68.5095;2022-07-06;186.0
68.5104;2022-07-08;188.0
68.5118;2022-07-10;190.0
68.5129;2022-07-12;192.0
68.5146;2022-07-14;194.0
68.5161;2022-07-16;196.0
68.5181;2022-07-18;198.0
68.5199;2022-07-20;200.0
68.5221;2022-07-22;202.0
68.5246;2022-07-24;204.0
68.5272;2022-07-26;206.0
68.5297;2022-07-28;208.0
68.5328;2022-07-30;210.0
68.5358;2022-08-01;212.0
68.539;2022-08-03;214.0
68.5422;2022-08-05;216.0
68.5457;2022-08-07;218.0
68.5491;2022-08-09;220.0
68.5531;2022-08-11;222.0
68.5571;2022-08-13;224.0
68.5613;2022-08-15;226.0
68.5655;2022-08-17;228.0
68.5697;2022-08-19;230.0
68.5743;2022-08-21;232.0
68.5789;2022-08-23;234.0
68.5836;2022-08-25;236.0
68.5885;2022-08-27;238.0
68.5933;2022-08-29;240.0
68.5985;2022-08-31;242.0
68.6038;2022-09-02;244.0
68.6091;2022-09-04;246.0
68.6146;2022-09-06;248.0
68.6203;2022-09-08;250.0
68.6261;2022-09-10;252.0
68.6319;2022-09-12;254.0
68.6378;2022-09-14;256.0
68.6439;2022-09-16;258.0
68.6501;2022-09-18;260.0
68.6564;2022-09-20;262.0
68.6628;2022-09-22;264.0
68.6692;2022-09-24;266.0
68.6758;2022-09-26;268.0
68.6824;2022-09-28;270.0
68.6891;2022-09-30;272.0
68.6959;2022-10-02;274.0
68.7028;2022-10-04;276.0
68.7098;2022-10-06;278.0
68.7169;2022-10-08;280.0
68.7241;2022-10-10;282.0
68.7313;2022-10-12;284.0
68.7387;2022-10-14;286.0
68.7461;2022-10-16;288.0
68.7536;2022-10-18;290.0
68.7612;2022-10-20;292.0
68.7689;2022-10-22;294.0
68.7766;2022-10-24;296.0
68.7842;2022-10-26;298.0
68.792;2022-10-28;300.0
68.7999;2022-10-30;302.0
68.8078;2022-11-01;304.0
68.8158;2022-11-03;306.0
68.8239;2022-11-05;308.0
68.832;2022-11-07;310.0
68.8403;2022-11-09;312.0
68.8485;2022-11-11;314.0
68.8569;2022-11-13;316.0
68.8653;2022-11-15;318.0
68.8737;2022-11-17;320.0
68.8822;2022-11-19;322.0
68.8908;2022-11-21;324.0
68.8994;2022-11-23;326.0
68.9081;2022-11-25;328.0
68.9168;2022-11-27;330.0
68.9255;2022-11-29;332.0
68.9344;2022-12-01;334.0
68.9432;2022-12-03;336.0
68.9521;2022-12-05;338.0
68.9611;2022-12-07;340.0
68.9701;2022-12-09;342.0
68.979;2022-12-11;344.0
68.988;2022-12-13;346.0
68.9971;2022-12-15;348.0
69.0062;2022-12-17;350.0
69.0154;2022-12-19;352.0
69.0246;2022-12-21;354.0
69.0339;2022-12-23;356.0
69.0432;2022-12-25;358.0
69.0525;2022-12-27;360.0
69.0618;2022-12-29;362.0
69.0759;2023-01-01;365.0
63.362;2023-01-03;367.0
62.7066;2023-01-05;369.0
62.2872;2023-01-07;371.0
61.9472;2023-01-09;373.0
61.6463;2023-01-11;375.0
61.37;2023-01-13;377.0
61.1118;2023-01-15;379.0
60.8687;2023-01-17;381.0
60.6387;2023-01-19;383.0
60.4205;2023-01-21;385.0
60.2133;2023-01-23;387.0
60.0162;2023-01-25;389.0
59.8287;2023-01-27;391.0
59.6501;2023-01-29;393.0
59.48;2023-01-31;395.0
59.3178;2023-02-02;397.0
59.1631;2023-02-04;399.0
59.0155;2023-02-06;401.0
58.8746;2023-02-08;403.0
58.7401;2023-02-10;405.0
58.6115;2023-02-12;407.0
58.4887;2023-02-14;409.0
58.3713;2023-02-16;411.0
58.259;2023-02-18;413.0
58.1515;2023-02-20;415.0
58.0487;2023-02-22;417.0
57.9503;2023-02-24;419.0
57.8561;2023-02-26;421.0
57.7658;2023-02-28;423.0
57.6793;2023-03-02;425.0
57.5965;2023-03-04;427.0
57.517;2023-03-06;429.0
57.4409;2023-03-08;431.0
57.3679;2023-03-10;433.0
57.2978;2023-03-12;435.0
57.2305;2023-03-14;437.0
57.1659;2023-03-16;439.0
57.1038;2023-03-18;441.0
57.044;2023-03-20;443.0
56.9866;2023-03-22;445.0
56.9314;2023-03-24;447.0
56.8783;2023-03-26;449.0
56.8272;2023-03-28;451.0
56.7548;2023-03-31;454.0
56.7548;2023-04-01;455.0
56.7312;2023-04-02;456.0
40.892;2023-04-03;457.0
39.0607;2023-04-04;458.0
37.9747;2023-04-05;459.0
37.1492;2023-04-06;460.0
36.4461;2023-04-07;461.0
35.8133;2023-04-08;462.0
35.2257;2023-04-09;463.0
65.2874;2023-04-10;464.0
67.1627;2023-04-11;465.0
67.9781;2023-04-12;466.0
68.4821;2023-04-13;467.0
68.8503;2023-04-14;468.0
69.1432;2023-04-15;469.0
69.3937;2023-04-16;470.0
43.7541;2023-04-17;471.0
40.8811;2023-04-18;472.0
39.3736;2023-04-19;473.0
38.2888;2023-04-20;474.0
37.4181;2023-04-21;475.0
36.6656;2023-04-22;476.0
35.9877;2023-04-23;477.0
64.8925;2023-04-24;478.0
66.758;2023-04-25;479.0
67.5827;2023-04-26;480.0
68.0997;2023-04-27;481.0
68.4813;2023-04-28;482.0
68.788;2023-04-29;483.0
69.0526;2023-04-30;484.0
44.0245;2023-05-01;485.0
41.1848;2023-05-02;486.0
39.6893;2023-05-03;487.0
38.6094;2023-05-04;488.0
37.7397;2023-05-05;489.0
36.9867;2023-05-06;490.0
36.307;2023-05-07;491.0
64.668;2023-05-08;492.0
66.5226;2023-05-09;493.0
67.3511;2023-05-10;494.0
67.8736;2023-05-11;495.0
68.2611;2023-05-12;496.0
68.5743;2023-05-13;497.0
68.8454;2023-05-14;498.0
44.1547;2023-05-15;499.0
41.3522;2023-05-16;500.0
39.8755;2023-05-17;501.0
38.8085;2023-05-18;502.0
37.9486;2023-05-19;503.0
37.2027;2023-05-20;504.0
36.5279;2023-05-21;505.0
64.5159;2023-05-22;506.0
66.3585;2023-05-23;507.0
67.1849;2023-05-24;508.0
67.7087;2023-05-25;509.0
68.0988;2023-05-26;510.0
68.4147;2023-05-27;511.0
68.6884;2023-05-28;512.0
44.2405;2023-05-29;513.0
41.4733;2023-05-30;514.0
40.0175;2023-05-31;515.0
38.9648;2023-06-01;516.0
38.1152;2023-06-02;517.0
37.3776;2023-06-03;518.0
36.7105;2023-06-04;519.0
64.397;2023-06-05;520.0
66.2248;2023-06-06;521.0
67.0481;2023-06-07;522.0
67.5722;2023-06-08;523.0
67.9625;2023-06-09;524.0
68.2798;2023-06-10;525.0
68.5555;2023-06-11;526.0
