WBHP;Time;Time[d]
40.7088;2022-01-01;0.0
93.8778;2022-01-02;1.0
91.4137;2022-01-02;1.0
85.2592;2022-01-04;3.0
79.5518;2022-01-06;5.0
79.6628;2022-01-08;7.0
77.2937;2022-01-10;9.0
75.8007;2022-01-12;11.0
74.8341;2022-01-14;13.0
74.1375;2022-01-16;15.0
73.6388;2022-01-18;17.0
73.3606;2022-01-20;19.0
73.1973;2022-01-22;21.0
73.1051;2022-01-24;23.0
72.9993;2022-01-26;25.0
72.8863;2022-01-28;27.0
72.7327;2022-01-30;29.0
72.6373;2022-01-31;30.0
72.4787;2022-02-02;32.0
72.2924;2022-02-04;34.0
72.1366;2022-02-06;36.0
71.7917;2022-02-08;38.0
71.5198;2022-02-10;40.0
71.4681;2022-02-12;42.0
71.4227;2022-02-14;44.0
71.3563;2022-02-16;46.0
71.2978;2022-02-18;48.0
71.1802;2022-02-20;50.0
71.0749;2022-02-22;52.0
70.9826;2022-02-24;54.0
70.9734;2022-02-26;56.0
70.95;2022-02-28;58.0
70.9189;2022-03-02;60.0
70.8514;2022-03-04;62.0
70.7728;2022-03-06;64.0
70.7024;2022-03-08;66.0
70.631;2022-03-10;68.0
70.5681;2022-03-12;70.0
70.5202;2022-03-14;72.0
70.4662;2022-03-16;74.0
70.4366;2022-03-18;76.0
70.4052;2022-03-20;78.0
70.3741;2022-03-22;80.0
70.3457;2022-03-24;82.0
70.3185;2022-03-26;84.0
70.2948;2022-03-28;86.0
70.2601;2022-03-30;88.0
70.2305;2022-04-01;90.0
70.1936;2022-04-03;92.0
70.17;2022-04-05;94.0
70.1353;2022-04-07;96.0
70.1132;2022-04-09;98.0
70.0924;2022-04-11;100.0
70.0659;2022-04-13;102.0
70.0454;2022-04-15;104.0
70.033;2022-04-17;106.0
70.0151;2022-04-19;108.0
69.9958;2022-04-21;110.0
69.9765;2022-04-23;112.0
69.9637;2022-04-25;114.0
69.9426;2022-04-27;116.0
69.926;2022-04-29;118.0
69.9168;2022-05-01;120.0
69.8953;2022-05-03;122.0
69.8829;2022-05-05;124.0
69.8728;2022-05-07;126.0
69.8648;2022-05-09;128.0
69.8563;2022-05-11;130.0
69.8495;2022-05-13;132.0
69.8481;2022-05-15;134.0
69.8365;2022-05-17;136.0
69.8258;2022-05-19;138.0
69.8261;2022-05-21;140.0
69.8114;2022-05-23;142.0
69.8064;2022-05-25;144.0
69.8015;2022-05-27;146.0
69.7905;2022-05-29;148.0
69.7769;2022-05-31;150.0
69.7699;2022-06-02;152.0
69.7658;2022-06-04;154.0
69.7558;2022-06-06;156.0
69.7505;2022-06-08;158.0
69.7439;2022-06-10;160.0
69.7398;2022-06-12;162.0
69.7357;2022-06-14;164.0
69.7324;2022-06-16;166.0
69.7314;2022-06-18;168.0
69.7236;2022-06-20;170.0
69.7197;2022-06-22;172.0
69.7175;2022-06-24;174.0
69.7154;2022-06-26;176.0
69.7107;2022-06-28;178.0
69.7099;2022-06-30;180.0
69.7079;2022-07-02;182.0
69.7056;2022-07-04;184.0
69.7056;2022-07-06;186.0
69.7041;2022-07-08;188.0
69.7024;2022-07-10;190.0
69.702;2022-07-12;192.0
69.7028;2022-07-14;194.0
69.7007;2022-07-16;196.0
69.7005;2022-07-18;198.0
69.7002;2022-07-20;200.0
69.7012;2022-07-22;202.0
69.6993;2022-07-24;204.0
69.7004;2022-07-26;206.0
69.7001;2022-07-28;208.0
69.7017;2022-07-30;210.0
69.7019;2022-08-01;212.0
69.7028;2022-08-03;214.0
69.7048;2022-08-05;216.0
69.7083;2022-08-07;218.0
69.7075;2022-08-09;220.0
69.71;2022-08-11;222.0
69.7119;2022-08-13;224.0
69.7154;2022-08-15;226.0
69.7181;2022-08-17;228.0
69.7218;2022-08-19;230.0
69.7237;2022-08-21;232.0
69.7253;2022-08-23;234.0
69.7288;2022-08-25;236.0
69.733;2022-08-27;238.0
69.7366;2022-08-29;240.0
69.7383;2022-08-31;242.0
69.7425;2022-09-02;244.0
69.7473;2022-09-04;246.0
69.7506;2022-09-06;248.0
69.7563;2022-09-08;250.0
69.7577;2022-09-10;252.0
69.7628;2022-09-12;254.0
69.7671;2022-09-14;256.0
69.7739;2022-09-16;258.0
69.7761;2022-09-18;260.0
69.7812;2022-09-20;262.0
69.7889;2022-09-22;264.0
69.7931;2022-09-24;266.0
69.7975;2022-09-26;268.0
69.804;2022-09-28;270.0
69.8108;2022-09-30;272.0
69.8152;2022-10-02;274.0
69.821;2022-10-04;276.0
69.8284;2022-10-06;278.0
69.8325;2022-10-08;280.0
69.8404;2022-10-10;282.0
69.8453;2022-10-12;284.0
69.8511;2022-10-14;286.0
69.8577;2022-10-16;288.0
69.8642;2022-10-18;290.0
69.8695;2022-10-20;292.0
69.8786;2022-10-22;294.0
69.8846;2022-10-24;296.0
69.8893;2022-10-26;298.0
69.8971;2022-10-28;300.0
69.9019;2022-10-30;302.0
69.9098;2022-11-01;304.0
69.916;2022-11-03;306.0
69.9243;2022-11-05;308.0
69.9299;2022-11-07;310.0
69.9382;2022-11-09;312.0
69.944;2022-11-11;314.0
69.9531;2022-11-13;316.0
69.9586;2022-11-15;318.0
69.9655;2022-11-17;320.0
69.9737;2022-11-19;322.0
69.9811;2022-11-21;324.0
69.9895;2022-11-23;326.0
69.9963;2022-11-25;328.0
70.0026;2022-11-27;330.0
70.0123;2022-11-29;332.0
70.0197;2022-12-01;334.0
70.0261;2022-12-03;336.0
70.0357;2022-12-05;338.0
70.0426;2022-12-07;340.0
70.0514;2022-12-09;342.0
70.0589;2022-12-11;344.0
70.0669;2022-12-13;346.0
70.0747;2022-12-15;348.0
70.084;2022-12-17;350.0
70.0902;2022-12-19;352.0
70.099;2022-12-21;354.0
70.1075;2022-12-23;356.0
70.1175;2022-12-25;358.0
70.124;2022-12-27;360.0
70.1327;2022-12-29;362.0
70.1427;2023-01-01;365.0
64.2189;2023-01-02;366.0
63.2993;2023-01-04;368.0
62.7979;2023-01-06;370.0
62.4177;2023-01-08;372.0
62.1007;2023-01-10;374.0
61.819;2023-01-12;376.0
61.5572;2023-01-14;378.0
61.2892;2023-01-16;380.0
61.0217;2023-01-18;382.0
60.7676;2023-01-20;384.0
60.5337;2023-01-22;386.0
60.3185;2023-01-24;388.0
60.1231;2023-01-26;390.0
59.9362;2023-01-28;392.0
59.6802;2023-01-31;395.0
59.5196;2023-02-02;397.0
59.3603;2023-02-04;399.0
59.2017;2023-02-06;401.0
59.0496;2023-02-08;403.0
58.907;2023-02-10;405.0
58.5607;2023-02-16;411.0
58.3482;2023-02-20;415.0
57.9438;2023-03-01;424.0
57.6163;2023-03-10;433.0
57.2959;2023-03-20;443.0
56.9846;2023-03-31;454.0
56.9546;2023-04-01;455.0
56.9174;2023-04-02;456.0
39.3146;2023-04-03;457.0
37.1782;2023-04-04;458.0
35.9307;2023-04-05;459.0
34.9777;2023-04-06;460.0
34.1699;2023-04-07;461.0
33.4481;2023-04-08;462.0
32.7825;2023-04-09;463.0
67.5407;2023-04-10;464.0
69.4809;2023-04-11;465.0
70.304;2023-04-12;466.0
70.7999;2023-04-13;467.0
71.1531;2023-04-14;468.0
71.4283;2023-04-15;469.0
71.6597;2023-04-16;470.0
42.539;2023-04-17;471.0
39.2287;2023-04-18;472.0
37.4723;2023-04-19;473.0
36.2302;2023-04-20;474.0
35.2325;2023-04-21;475.0
34.3749;2023-04-22;476.0
33.6069;2023-04-23;477.0
67.0309;2023-04-24;478.0
68.9775;2023-04-25;479.0
69.8206;2023-04-26;480.0
70.3389;2023-04-27;481.0
70.7137;2023-04-28;482.0
71.0098;2023-04-29;483.0
71.2604;2023-04-30;484.0
42.8243;2023-05-01;485.0
39.5497;2023-05-02;486.0
37.807;2023-05-03;487.0
36.5712;2023-05-04;488.0
35.5759;2023-05-05;489.0
34.7184;2023-05-06;490.0
33.9489;2023-05-07;491.0
66.7573;2023-05-08;492.0
68.7027;2023-05-09;493.0
69.5541;2023-05-10;494.0
70.0805;2023-05-11;495.0
70.4631;2023-05-12;496.0
70.7678;2023-05-13;497.0
71.0259;2023-05-14;498.0
42.9545;2023-05-15;499.0
39.7182;2023-05-16;500.0
37.9963;2023-05-17;501.0
36.7749;2023-05-18;502.0
35.7914;2023-05-19;503.0
34.9428;2023-05-20;504.0
34.1796;2023-05-21;505.0
66.5766;2023-05-22;506.0
68.5163;2023-05-23;507.0
69.3676;2023-05-24;508.0
69.8971;2023-05-25;509.0
70.2838;2023-05-26;510.0
70.5917;2023-05-27;511.0
70.8537;2023-05-28;512.0
43.0379;2023-05-29;513.0
39.8393;2023-05-30;514.0
38.1407;2023-05-31;515.0
36.9355;2023-06-01;516.0
35.9637;2023-06-02;517.0
35.1257;2023-06-03;518.0
34.3716;2023-06-04;519.0
66.4543;2023-06-05;520.0
68.367;2023-06-06;521.0
69.2166;2023-06-07;522.0
69.7481;2023-06-08;523.0
70.1359;2023-06-09;524.0
70.4464;2023-06-10;525.0
70.7107;2023-06-11;526.0
